x,y,z,output
-518.0092556444804,-584.6633679453187,-418.72621730341575,-2.511546311923112
-508.9739780501238,-389.6426972905106,-505.82622347824537,0.8643736469081822
-671.5144016816262,-405.47531966156185,-465.9525584528518,-0.618809219286585
-531.6901271209288,-522.9169522621143,-440.1400693930313,-1.986815651788788
-611.0880258113415,-542.0487430649908,-395.4939748366826,-0.7170975901181575
-467.9497923975895,-590.4486848210643,-362.00326581729496,-1.7121898811902063
-516.4232580682265,-418.5217321666432,-590.3757906118551,1.1923489219010674
-493.04728001872087,-523.7158698462902,-462.2792343327719,-2.325452295117955
-443.76253074249234,-172.99773868746777,-675.1183751623141,-0.1838769259410431
-517.524816926079,-235.2758166396709,-374.96302499017753,-3.0534581773614384
-553.5158529303092,-369.3970051474536,-566.7817467846955,-1.6872973289722444
-500.0229531677213,-242.2388425489497,-500.4018877184111,-1.750896071185052
-514.1305004382591,-317.21374374258454,-415.47808227894376,-0.4834180032908721
-497.5532736216563,-263.4324778589147,-511.9271252238832,0.8795072142078167
-441.644574106621,-133.7962153926036,-419.4889568320133,10.35098401703026
-443.78056430067664,-188.83278538974977,-672.8182243854371,-1.542333137055847
-584.7699624567391,131.18658298462472,-470.9129183565966,0.5441111718853633
-423.2628524255452,3.1168630191746134,-685.2578943486022,-0.9427333974190724
-361.822236261748,-18.108693976101826,-631.9307045483916,-0.8180908168823023
-632.1456630621054,-124.30560877528144,-626.8787644734334,7.792042456086776
-622.0570557955651,86.89607368423229,-525.7245149704031,-1.745733676242336
-425.9230226975853,-12.969430660238682,-493.4661508023844,-0.4171843172620981
-433.4010585941962,-100.50031914127852,-491.5079375163445,-5.477419407427501
-545.7867669053046,5.518537798410012,-494.6713658926024,-7.788575235766072
-560.3480511475318,221.9325763148883,-457.0826291272308,-51.04933298616854
-577.9690300441956,178.48893983672767,-446.7312530452728,0.7894534690280438
-484.913077613875,168.37361843981526,-485.1078193066039,-4.127354349704388
-415.4640703338888,419.3657339614703,-334.9709691489515,2.1456018383179463
-507.6167084881291,317.3152639537598,-448.3872055664471,1.3695962018227554
-560.8908428762401,266.0460860255512,-520.7530408392621,1.6561459169398065
-401.60648505989775,311.0790877598572,-503.94102403234575,-2.5251626272660697
-467.6221414008142,339.73353612093035,-573.2093380411985,-7.96931715487221
-465.1886989033802,602.2446279992716,-488.145749149766,-2.368462032978677
-423.4530035727712,519.0114316408678,-494.5733822524877,-5.771597578306281
-691.7220150586154,658.3850507067779,-412.8641000111659,-3.9538613231984105
-620.6862110396264,456.96107107034334,-587.1185138275622,-0.3735597408320759
-329.4919678066713,393.8990612766144,-467.0640377505789,-0.2486580104228582
-602.6003952654679,521.4411234016667,-524.7113334177045,0.6478063638863995
-417.8340954492008,484.92579262524055,-565.3840682519595,-0.0197544637597689
-444.0234748281608,559.8952539583968,-528.7735773883891,-1.4104270388415971
-239.90364294651783,-742.5040716999872,-465.0814181600348,-0.5557340433833168
-108.02199694106788,-499.37856028165305,-612.359094317312,0.4545958871659379
-223.7536429823578,-499.9759722110306,-444.39237345764633,-7.326851620806404
-210.5598470386407,-542.6386604462294,-584.290687558218,-1.704643076593305
-178.534376569689,-494.4608854299303,-556.8570482491097,-0.925947567369742
-388.6914194977671,-545.6079371913028,-497.7834282959191,-4.773411802305158
-197.4396777663618,-425.1491853696221,-617.9712424567585,1.242356024335454
-261.43704315495347,-647.6315497098153,-408.4765939232146,-1.2206398218045518
-152.23664515898898,-197.03436528451667,-447.9746799782158,2.5343888380984
-195.32206381997935,-189.15231978487367,-472.883181617879,13.846635017865284
-295.72723031431093,-182.40797504504303,-509.3715341217036,0.2644358875335249
-327.39674148332386,-144.13242263339512,-569.1958951029177,0.4858958037141701
-246.62798707907007,-196.2624963457572,-620.0844344340863,-3.560514143175744
-239.0747486714326,-272.80968554936226,-408.08351540687954,0.8763430791156717
-221.4302314760426,-341.41903465760464,-551.2238373401825,-8.751801845497438
-213.329578214865,-239.5775442430855,-588.4104196017897,-1.1804717395143396
-158.925338271307,-61.86721958204081,-514.9465841964766,0.8046012301083997
-270.45787661351795,60.43766829815093,-502.9807284875142,-0.0136312251119857
-334.3286081814927,70.74263349857395,-509.9452639397704,-0.2795993558812037
