x,y,z,output
-492.2784828349546,-431.72718748335615,-400.4304313999275,64256.33072282827
-570.5186304991003,-571.6757895038234,-434.749127966979,89917.08902174154
-475.7056654260883,-484.5952485742529,-584.7119745600689,87242.38668230565
-507.2441683561417,-515.0154542636373,-468.65377665918936,82117.77138866004
-506.0712721811948,-550.4620487460262,-522.9022339522502,92226.92283025944
-457.77558271577647,-464.5448989817896,-518.8637285968647,76562.1278900318
-519.1179771053019,-591.8399081150468,-357.97691975901853,74872.62826781126
-673.5226707040689,-478.41010537110014,-403.1503309565164,83534.63624159292
-638.5451589707217,-280.3229530539862,-339.0928093495782,48250.44292224039
-498.7951226702645,-210.40185455485263,-622.7741053510293,49069.00198716972
-512.6654344825874,-209.76502075024123,-575.0031135351062,47659.85945237564
-491.5137694794215,-173.93785303996856,-348.4511269082953,29381.679956756176
-536.0223466433603,-236.955269007292,-611.4763685071762,56098.37009385573
-552.7853532759199,-258.681936571383,-441.3168155667975,50372.92350249165
-302.0385062466958,-316.1871280310841,-601.6512020829665,47101.541570061054
-658.3867555031615,-277.43273559858653,-530.1582357567358,66056.74835369813
-522.9580964671858,18.49644621464192,-429.3518763774475,-4447.393043651515
-548.7951749586816,23.04936475261541,-434.9166557563256,-5726.691221878502
-476.6968710500977,29.11193675516869,-557.3777023675916,-7696.807143982021
-524.8477617541336,58.96543678248678,-562.6794434743254,-16930.19202698851
-489.90745373793584,36.90596462982872,-464.7740094886154,-9156.209487197062
-589.414855008461,14.328341093932057,-580.1978578903362,-4241.352931126071
-448.0867803310296,51.936665833464325,-619.4740626529658,-14194.625678169425
-482.6399040055841,57.19386374394194,-563.5130183768315,-15728.942096280163
-477.2831849887477,230.88708910526117,-556.372611185661,-76374.96049584134
-406.1983731342628,298.71272652446044,-592.4545316991747,-102703.66499211428
-583.7187388055443,255.93250736792373,-386.23537187925126,-80810.84005518713
-456.9027757892403,226.02244785967957,-409.625125398573,-66044.84873378953
-503.70871724979287,119.9880074631296,-466.5734394999945,-33164.24532135327
-540.0620658294024,224.8004994739896,-546.1473108592438,-76973.62960128266
-557.0213538598183,245.87699286249585,-456.7713846170944,-81465.73919973972
-633.2692711072626,209.77891252520104,-406.7902516961282,-65087.25811236987
-393.1017249126154,487.8353976725229,-508.0244823484514,-235725.83638199372
-522.5710845429624,561.3729226912247,-443.4349993228359,-321488.38138630416
-382.2085964819093,553.1452652524517,-445.0965361947327,-343233.68108508305
-463.17115533378734,418.949813281336,-609.6506092124624,-180922.1349102346
-512.6858599392325,562.9086827670673,-337.4103038135219,-339064.39611088904
-486.3143426633538,541.8457445531568,-405.4246352548078,-305328.4425683809
-390.68549299038,535.2183179916511,-590.0506438612954,-276937.968817409
-312.49985339597634,484.8321620317346,-506.7533014211703,-229585.29752928764
-198.07258048724867,-519.2309497749892,-461.210266975975,40248.46310953185
-182.39319664294572,-506.242870026413,-320.7684862589524,29342.30518737488
-260.8549414709078,-421.4563694837361,-413.7302212373668,41499.367868128495
-233.0306044501624,-458.7810549595548,-481.14740006897466,43854.36488002973
-346.73580056891257,-542.0624238023728,-551.6847378351611,71983.20094644497
-308.95321792575976,-490.6896598314024,-575.692815211586,63457.3250868647
-177.23827645147233,-585.5849105672091,-407.4208303821532,36133.91332467768
-254.348668089201,-451.5773370499785,-497.9614711609712,47508.50231748973
-267.2437951794972,-322.56584139313225,-482.1564499926832,38773.330526996026
-311.68317447907054,-257.58724702007714,-549.8855590968653,39447.51564560711
-207.1894817854624,-234.48881372010607,-599.4515796682907,27973.056566066374
-242.1526043937328,-220.1246538035523,-416.7495318575728,25271.522325663394
-307.19915834048,-250.44149501888117,-520.0912789748874,37127.437638528936
-355.32913290103744,-286.02559138117647,-483.9583390592178,43708.92193331353
-342.8212103736652,-323.22119773124336,-483.833933366023,46624.3096460378
-278.8759887496807,-205.15745329539897,-437.3901742280075,27158.63510993786
-163.5749064142913,49.03461257549137,-482.9786594657302,-6483.261660657012
-292.6637491013668,-33.855087084812425,-499.2066566401826,5990.188453180706
-204.06592900137665,125.72910332919776,-575.867409489913,-22584.782498031564
-124.49451450339905,8.16606774349226,-504.9101323840539,-826.301913459468
-206.7961676279329,204.33622399501695,-421.7420516736472,-42010.826124438645
-217.61024912261703,9.453008913261964,-475.4063187860663,-1430.6044610982492
-357.1789458574219,-35.998201888030664,-437.83284094409873,6774.370261876175
-303.0592658375617,-4.31912676212103,-508.9535162116509,816.0685706273891
-340.3558911008069,234.71001245692628,-674.6703107453201,-69069.41605534259
-312.2698696653677,251.2905689218282,-633.986350277169,-71585.1075552964
-341.40038153832273,251.41916140266756,-520.5071840656682,-73183.31606678687
-345.8749826076613,303.3751396971803,-502.9212059299783,-96753.58343284889
-215.1096669783972,381.7683192008026,-537.9240561574325,-118986.15818111248
-207.8460419654986,147.25594482729,-547.4167089335126,-27556.432540939048
-215.88728970555172,296.2087955799702,-297.6911795412674,-87577.4531730536
-290.1426770235464,270.0269942544569,-552.7990211981479,-75595.50446562987
-347.55203918658026,461.1275986811305,-462.8577270501349,-212379.16969415883
-368.8019485435972,553.7757203548623,-536.280488842196,-311768.78400536464
-236.9422662121192,516.0209919958838,-487.3792042721,-286079.3311011845
-208.17761572471184,509.7355949405563,-589.5356382542352,-217235.23633338843
-273.23340435940406,491.9709601385427,-558.744314483697,-220901.5818717697
-314.7864279877919,482.446217101442,-469.2547322215371,-236292.2804813852
-278.0608913975076,545.5712419227806,-491.9810962157674,-332491.1553570649
-180.4383549033614,431.05047481906377,-620.0274485689678,-130542.73865654747
-30.246016240174523,-483.591900946744,-563.9881104225245,7653.60372492055
