x,y,output
-520.8446260799302,-343.0480932683742,-100923690.4112257
-626.4791954566955,-508.10365843411887,-114701383.00822774
-487.8995501259404,-592.3776920096262,91729521.66335976
-445.1346128811024,-454.4251256939879,5638666.526104927
-499.1266635311703,-447.8548527305837,-34518115.74201511
-398.2385585022348,-468.4522544686153,39642457.21250356
-389.6271701654,-632.2879952563047,193632181.55200896
-533.4993177672376,-489.2829155017313,-34712148.34803629
-644.0924816048318,-397.19449289551545,-204542287.3127639
-472.5118100928895,-727.2057656635083,279070446.35007703
-632.4368370704215,-516.0554082386029,-115527420.37908465
-451.0565356946739,-541.1968387453168,66744963.16369402
-409.5603799650132,-461.02220553389583,29286801.836002707
-493.0751280791492,-576.3150536576799,71538784.45335832
-482.97412938481096,-491.3961900110508,5997061.960834209
-542.6888282219645,-573.5954729915347,28891741.29950289
-549.4641205468821,-472.0597056252386,-60695205.73654484
-441.64532272189024,-546.4061274872093,76991644.30622017
-482.2755512419717,-440.6671816849504,-26600242.344770093
-366.9886496343457,-482.3294027136739,62783632.66366995
-519.8392513857242,-469.76512273615504,-36810216.501044005
-494.0397820541545,-581.7018889688065,76251680.00277966
-546.1156957952442,-400.2730138359185,-98743694.1727118
-473.45003446161735,-384.6147330999902,-49230683.92658457
-513.8719910965082,-441.4397657205287,-49672355.778650336
-398.76888948216833,-620.3526704002053,175324047.061743
-496.3376601500745,-604.7803587203514,98930714.88068008
-413.1318469941273,-490.3268167333193,47372077.6085989
-481.4841804023721,-381.7626941531539,-55981894.07877976
-471.7508429927458,-414.1138261129289,-33971123.19878719
-392.2056751557466,-532.1909328701838,90399789.65591832
-487.0033035980642,-325.6967731776035,-80954264.85148929
-587.1291658952256,-471.6005570479239,-97508246.6698964
-535.9498648787644,-576.8837745499767,38036522.68247628
-527.863889605811,-470.52478761347504,-42912979.94040209
-540.5604453811524,-352.5389800380123,-114139926.39228871
-548.1216201405355,-470.2171406878471,-60709219.67813035
-742.3372372851239,-535.8684072552251,-255198487.621324
