x,y,output
-453.8153021998367,-393.303811684122,360636.270412615
-521.972436898421,-416.1549051900754,445640.1550505469
-528.529853864328,-543.898243879509,575169.1287232179
-515.6752651951521,-438.628930138274,458316.3822129171
-369.1723517400176,-535.4995232090558,423047.9669995057
-464.64797402044144,-493.1266847477177,459071.6169096832
-427.6033336193408,-420.2805491284769,359480.33898897696
-452.913119873794,-520.4641062808656,476013.1690104479
-545.9020576944343,-541.6500947385871,591393.8879056622
-725.6854223805844,-541.3111249924688,819637.0656794249
-601.2694231923847,-502.04936409402586,613578.4853144063
-495.0611825160832,-527.7974353618077,523655.7257113745
-485.0058480234348,-465.4050894764157,451832.58037478325
-591.2756594636305,-445.04380857191984,547670.7966528434
-404.1241251494715,-358.84435679248685,292085.61414246284
-539.0785791213708,-510.8039123197167,551526.3906928498
-464.9140898420055,-689.9400268070125,692162.4358839946
-434.6677402473201,-671.1299946858978,639351.4454121613
-589.2965841952046,-564.234998844763,665631.5526394274
-498.7280106067215,-383.94467858987485,396143.0824682579
-540.8111403497765,-482.5411207400625,525322.6362068923
-333.469594516679,-452.7087190166641,316147.1343769972
-511.6116345814668,-519.1633698365725,531277.0828794806
-531.3982396076889,-472.9273409052987,506044.3616253701
-581.634629943324,-448.72451227750366,539652.5024032089
-463.60988596726526,-463.7092542928394,429960.4327676539
-466.8489616436072,-412.2407123230993,387890.3390079992
-354.01961020422465,-517.5342414221923,393171.5676237018
-574.1859294814119,-449.2682415783029,531531.46759526
-469.27099766972265,-425.8753267357648,401585.1446183781
-437.4757213139591,-389.6767231703856,343232.91847856034
-452.9969458453078,-591.5199793700394,555102.1288130195
-577.8518689754443,-448.5488959164583,535108.9089096972
-537.1947378334498,-523.328449442744,562450.8318557816
-423.0731764134659,-637.163064083427,584967.5694794595
-666.6364495491434,-485.7991749499008,680404.9172015621
-443.9702599433387,-598.1214306340544,554858.8086882905
-630.0965848731269,-702.0261340945265,889862.3064764921
-559.9098917038459,-526.2002365485416,590385.8306810986
-512.7480420242466,-503.4325653153799,516354.9726055819
-446.2989755594253,-294.0667203294143,285658.01758155745
-647.6629847125625,-182.69032964059656,452843.1462340633
