x,y,output
-386.0713840776078,-535.1642947161846,206611.30342578614
-584.5811075872011,-465.2656085228331,271985.19665710995
-414.45249259205684,-665.3712068887935,275765.02358268865
-622.1761439544111,-409.50936685796074,254786.91544779768
-594.6544132108784,-503.55734419809056,299443.39180750475
-473.2606940285289,-536.4494979776863,253879.62857746135
-462.77009850965845,-493.93693801141103,228580.06958951504
-390.5569181879921,-588.5100049706257,229845.80910546906
-430.6150568624955,-405.46546813499964,174599.65900166286
-560.6712072801694,-438.0962232192234,245627.0192426238
-438.48585450935536,-463.53539738559095,203254.70866229085
-439.9430422689511,-562.3988699567755,247423.3164913985
-599.4430923608664,-374.5694707953767,224532.53981466647
-512.3633013544172,-415.4670004044499,212870.33473283725
-586.5243716298185,-456.9345247200609,268002.4959348001
-509.90322836047517,-426.92535011562444,217689.86541809366
-564.238353615138,-510.07824078621206,287806.67144489574
-413.1034428489771,-609.845428395048,251930.3373937206
-453.3031085182979,-574.2767305675446,260320.65442292733
-376.1889617665361,-479.4719660098384,180372.81893207342
-484.4858635663178,-490.8625426661123,237815.34589473795
-552.3544627199972,-406.153385264755,224341.12604400428
-504.5950421556682,-589.396803643357,297405.75640683254
-480.3222985431518,-604.3405214951594,290277.8699133149
-404.07782496866787,-380.545461920323,153769.08499115903
-422.9756935001692,-630.1122473998809,266521.30908746156
-468.16411316031434,-522.1994407036589,244475.14792186787
-558.9380107686384,-514.8598779925633,287775.0330324078
-491.3557146435686,-350.2817643082775,172111.9976556214
-535.8767125117097,-453.6606873993737,243105.0919259285
-466.0500759773929,-465.9115171267764,217137.22327227602
-599.8921404081868,-670.8077785587363,402412.1560914598
-531.9526931373408,-512.6091254440938,272684.6825851576
-560.1200725565806,-524.3587619047105,293703.06668684084
-444.5121976036195,-488.97315420344995,217355.52148554628
-396.312326271587,-480.99770138218173,190624.86122449412
-526.203498962205,-314.6716792034859,165582.3327174545
-489.9502490521967,-520.5627603457067,255050.00715978286
-574.8035594037448,-415.0013586820898,238544.1529744762
-526.5011372312671,-378.71057919893724,199392.56203992263
-501.84671449858024,-157.75217998517186,79168.1202117983
-548.0928587446707,-332.60321132132873,182296.4062757215
-362.99492517622605,-277.9817525970482,100906.84583305493
-461.2288969637089,-242.96633581069932,112062.56744372656
-540.0720744378466,-325.6921585427777,175897.4383180179
-619.698862625641,-240.14400565654145,148817.66378560168
-463.7172322185545,-264.07368241461864,122456.4735200106
-452.0663281435694,-391.078237907818,176793.58360490235
-652.0589435336425,-199.92327272155126,130362.76555598284
-449.8564170568052,-170.98309229715008,76918.37454580732
-567.1839621509306,-348.7408055999994,197799.2456118271
-502.94777335395474,-150.94368595196323,75916.52644151848
-581.9062966306379,-375.3463028108276,218417.05586979532
-339.68619453224466,-178.92736235303926,60778.81570862079
-499.52168620371975,-239.96966984025332,119870.11940647096
-476.47775077367623,-273.7237666874773,130424.19060892431
-366.3126551567325,-225.53144564599037,82614.07131569232
-352.290437343539,-354.86048781554683,125013.4809894432
-612.3529666726339,-292.10277470450455,178869.77768333472
-427.41782912899794,-196.99126169605697,84197.37505492796
-510.641911711189,-326.91409718300105,166934.97801938024
-318.6399858546362,-317.2743820775648,101097.23221955326
-568.8959753988871,-194.6454213035815,110733.12921554227
-523.6194918831338,-387.7598359442356,203037.73373839146
-518.2501410056883,-280.5174507513516,145378.11682512422
-457.24109388337257,-202.86866065356236,92760.86581577038
-482.74055431156967,-202.2238072747623,97622.47556262839
-434.7569560588026,-183.19766592839014,79645.54268401275
-510.7005635532398,-191.84569154690917,97974.71917804386
-622.5132541500266,-300.67452138590664,187173.43793484863
-525.136255538492,-218.96086442639165,114984.74302713813
-437.84264346329746,-222.63394961929657,97479.52646901287
-386.6700557146069,-184.79916064873407,71456.55892794947
-553.8760843720466,-212.14804751365702,117502.9544158716
-544.0905348384346,-144.0741371828221,78389.95105662632
-567.3803467780306,-250.02651491750473,141859.18889177835
-589.1073496782341,-278.18975222955487,163884.62770666173
-529.9163028023451,-281.58714100657136,149216.71661269845
-444.9526123079053,-209.36104496616883,93156.70015290396
-492.9933913603391,-151.04198581493827,74462.4601402656
-585.4953149713582,0.8496092013894179,-498.473109046931
-574.6281075800163,-29.471089703319358,16934.632116270725
-534.9845228709021,-25.731023179309833,13764.820625046628
