x,output
-20.0,-27.549060619953103
-19.95995995995996,-27.496964979453725
-19.91991991991992,-27.444869163807677
-19.87987987987988,-27.392773171957348
-19.83983983983984,-27.34067700283659
-19.7997997997998,-27.28858065537064
-19.75975975975976,-27.23648412847603
-19.71971971971972,-27.1843874210605
-19.67967967967968,-27.132290532022907
-19.63963963963964,-27.08019346025313
-19.5995995995996,-27.028096204632003
-19.55955955955956,-26.975998764031182
-19.51951951951952,-26.923901137313084
-19.47947947947948,-26.871803323330774
-19.43943943943944,-26.819705320927874
-19.3993993993994,-26.767607128938483
-19.35935935935936,-26.715508746187044
-19.31931931931932,-26.663410171488273
-19.27927927927928,-26.611311403647044
-19.23923923923924,-26.559212441458286
-19.1991991991992,-26.507113283706897
-19.15915915915916,-26.45501392916761
-19.11911911911912,-26.40291437660492
-19.07907907907908,-26.350814624772937
-19.03903903903904,-26.298714672415322
-18.998998998999,-26.246614518265144
-18.95895895895896,-26.19451416104478
-18.91891891891892,-26.142413599465794
-18.87887887887888,-26.090312832228843
-18.83883883883884,-26.03821185802353
-18.7987987987988,-25.986110675528323
-18.75875875875876,-25.934009283410404
-18.71871871871872,-25.88190768032556
-18.67867867867868,-25.829805864918075
-18.63863863863864,-25.777703835820574
-18.5985985985986,-25.725601591653945
-18.55855855855856,-25.67349913102716
-18.51851851851852,-25.62139645253718
-18.47847847847848,-25.569293554768823
-18.43843843843844,-25.517190436294616
-18.3983983983984,-25.46508709567468
-18.35835835835836,-25.41298353145658
-18.31831831831832,-25.36087974217519
-18.27827827827828,-25.30877572635257
-18.23823823823824,-25.256671482497808
-18.1981981981982,-25.204567009106878
-18.15815815815816,-25.15246230466251
-18.11811811811812,-25.10035736763403
-18.07807807807808,-25.048252196477208
-18.03803803803804,-24.99614678963413
-17.997997997998,-24.944041145533024
-17.95795795795796,-24.89193526258812
-17.91791791791792,-24.839829139199477
-17.87787787787788,-24.78772277375284
-17.83783783783784,-24.735616164619476
-17.7977977977978,-24.683509310156012
-17.75775775775776,-24.631402208704262
-17.71771771771772,-24.57929485859107
-17.67767767767768,-24.527187258128134
-17.63763763763764,-24.47507940561183
-17.5975975975976,-24.422971299323063
-17.55755755755756,-24.370862937527058
-17.51751751751752,-24.318754318473196
-17.47747747747748,-24.266645440394836
-17.43743743743744,-24.214536301509124
-17.3973973973974,-24.16242690001682
-17.35735735735736,-24.110317234102084
-17.31731731731732,-24.058207301932306
-17.27727727727728,-24.006097101657915
-17.237237237237238,-23.953986631412157
-17.197197197197198,-23.901875889310922
-17.157157157157158,-23.84976487345253
-17.117117117117118,-23.797653581917515
-17.077077077077078,-23.745542012768446
-17.037037037037038,-23.693430164049683
-16.996996996996998,-23.641318033787194
-16.956956956956958,-23.589205619988306
-16.916916916916918,-23.537092920641513
-16.876876876876878,-23.484979933716232
-16.836836836836838,-23.43286665716259
-16.796796796796798,-23.380753088911195
-16.756756756756758,-23.32863922687289
-16.716716716716718,-23.276525068938525
-16.676676676676678,-23.224410612978723
-16.636636636636638,-23.172295856843622
-16.596596596596598,-23.120180798362647
-16.556556556556558,-23.068065435344245
-16.516516516516518,-23.01594976557563
