x,output
-30.0,-12.917264407769457
-29.93993993993994,-12.911992015121072
-29.87987987987988,-12.9174049228572
-29.81981981981982,-12.93331910644267
-29.75975975975976,-12.959496017295244
-29.6996996996997,-12.995643821362163
-29.63963963963964,-13.041418914362136
-29.57957957957958,-13.096427705825263
-29.51951951951952,-13.16022866266815
-29.45945945945946,-13.232334601693438
-29.3993993993994,-13.312215219111007
-29.33933933933934,-13.399299843947137
-29.27927927927928,-13.49298040104545
-29.21921921921922,-13.592614568275598
-29.15915915915916,-13.69752911155672
-29.0990990990991,-13.80702338038004
-29.03903903903904,-13.92037294568128
-28.97897897897898,-14.036833361174429
-28.91891891891892,-14.155644028617834
-28.85885885885886,-14.27603214694323
-28.7987987987988,-14.397216724743636
-28.73873873873874,-14.518412635286609
-28.67867867867868,-14.638834692998508
-28.61861861861862,-14.757701730254507
-28.55855855855856,-14.874240653306632
-28.4984984984985,-14.987690456291308
-28.43843843843844,-15.09730617247494
-28.37837837837838,-15.202362742222054
-28.31831831831832,-15.302158777603251
-28.25825825825826,-15.3960202040963
-28.1981981981982,-15.483303760472415
-28.13813813813814,-15.563400338695752
-28.07807807807808,-15.635738146494782
-28.01801801801802,-15.699785676185325
-27.95795795795796,-15.755054464330392
-27.8978978978979,-15.801101627908558
-27.83783783783784,-15.837532163822653
-27.77777777777778,-15.864000999809292
-27.71771771771772,-15.880214786100895
-27.65765765765766,-15.885933418537368
-27.5975975975976,-15.880971285219468
-27.53753753753754,-15.865198230230927
-27.47747747747748,-15.8385402294256
-27.41741741741742,-15.800979774770864
-27.35735735735736,-15.752555965251693
-27.2972972972973,-15.69336430386344
-27.237237237237238,-15.623556201747325
-27.177177177177178,-15.543338192043304
-27.117117117117118,-15.452970857541988
-27.057057057057058,-15.352767477703516
-26.996996996996998,-15.243092402068145
-26.936936936936938,-15.124359158504042
-26.876876876876878,-14.997028306114613
-26.816816816816818,-14.861605043953173
-26.756756756756758,-14.71863658796107
-26.696696696696698,-14.568709329748353
-26.636636636636638,-14.412445791969034
-26.576576576576578,-14.250501396099205
-26.516516516516518,-14.083561059399857
-26.456456456456458,-13.912335638733696
