x,output
-5.0,-4.984057988118911
-4.98998998998999,-4.976877856458237
-4.97997997997998,-4.969697034073451
-4.96996996996997,-4.9625155168331325
-4.95995995995996,-4.9553333005729305
-4.94994994994995,-4.948150381095237
-4.93993993993994,-4.940966754168856
-4.92992992992993,-4.933782415528666
-4.91991991991992,-4.926597360875283
-4.90990990990991,-4.919411585874714
-4.8998998998999,-4.912225086158012
-4.88988988988989,-4.905037857320917
-4.87987987987988,-4.8978498949235085
-4.86986986986987,-4.890661194489843
-4.85985985985986,-4.88347175150758
-4.84984984984985,-4.876281561427623
-4.83983983983984,-4.8690906196637425
-4.82982982982983,-4.861898921592192
-4.81981981981982,-4.8547064625513325
-4.80980980980981,-4.847513237841241
-4.7997997997998,-4.840319242723316
-4.78978978978979,-4.8331244724198825
-4.77977977977978,-4.825928922113788
-4.76976976976977,-4.818732586947999
-4.75975975975976,-4.811535462025183
-4.74974974974975,-4.804337542407291
-4.73973973973974,-4.797138823115143
-4.72972972972973,-4.789939299127988
-4.71971971971972,-4.782738965383081
-4.70970970970971,-4.7755378167752385
-4.6996996996997,-4.768335848156394
-4.68968968968969,-4.761133054335153
-4.67967967967968,-4.753929430076331
-4.66966966966967,-4.746724970100498
-4.65965965965966,-4.739519669083506
-4.64964964964965,-4.732313521656025
-4.63963963963964,-4.725106522403047
-4.62962962962963,-4.717898665863424
-4.61961961961962,-4.710689946529357
-4.60960960960961,-4.7034803588459075
-4.5995995995996,-4.6962698972104935
-4.58958958958959,-4.689058555972377
-4.57957957957958,-4.681846329432146
-4.56956956956957,-4.674633211841197
-4.55955955955956,-4.667419197401197
-4.54954954954955,-4.660204280263553
-4.53953953953954,-4.65298845452886
-4.52952952952953,-4.645771714246358
-4.51951951951952,-4.638554053413372
-4.50950950950951,-4.63133546597474
-4.4994994994995,-4.624115945822247
-4.48948948948949,-4.616895486794043
-4.47947947947948,-4.609674082674053
-4.46946946946947,-4.602451727191383
-4.45945945945946,-4.595228414019713
-4.44944944944945,-4.58800413677669
-4.43943943943944,-4.580778889023306
-4.42942942942943,-4.57355266426327
-4.41941941941942,-4.566325455942371
-4.40940940940941,-4.559097257447833
-4.3993993993994,-4.5518680621076655
-4.38938938938939,-4.544637863189997
-4.37937937937938,-4.537406653902404
-4.36936936936937,-4.530174427391235
-4.35935935935936,-4.5229411767409164
-4.34934934934935,-4.515706894973258
-4.33933933933934,-4.508471575046743
-4.32932932932933,-4.50123520985581
-4.31931931931932,-4.493997792230131
-4.3093093093093096,-4.486759314933861
-4.2992992992992995,-4.479519770664911
-4.2892892892892895,-4.472279152054171
-4.2792792792792795,-4.465037451664754
-4.2692692692692695,-4.457794661991215
-4.2592592592592595,-4.450550775458758
-4.2492492492492495,-4.443305784422444
-4.2392392392392395,-4.436059681166371
-4.2292292292292295,-4.428812457902858
-4.2192192192192195,-4.421564106771609
-4.2092092092092095,-4.414314619838871
-4.1991991991991995,-4.40706398909657
-4.1891891891891895,-4.399812206461449
-4.1791791791791795,-4.392559263774182
-4.1691691691691695,-4.3853051527984865
-4.1591591591591595,-4.378049865220209
-4.1491491491491495,-4.370793392646414
-4.1391391391391394,-4.363535726604445
-4.129129129129129,-4.356276858540986
-4.119119119119119,-4.349016779821099
-4.109109109109109,-4.341755481727251
-4.099099099099099,-4.334492955458334
-4.089089089089089,-4.327229192128656
-4.079079079079079,-4.319964182766933
-4.069069069069069,-4.312697918315259
-4.059059059059059,-4.305430389628058
-4.049049049049049,-4.298161587471032
-4.039039039039039,-4.290891502520078
-4.029029029029029,-4.2836201253602075
-4.019019019019019,-4.276347446484435
-4.009009009009009,-4.269073456292653
-3.998998998998999,-4.261798145090504
-3.988988988988989,-4.254521503088215
-3.978978978978979,-4.247243520399436
-3.968968968968969,-4.239964187040037
-3.958958958958959,-4.232683492926918
-3.948948948948949,-4.225401427876768
-3.938938938938939,-4.218117981604839
-3.928928928928929,-4.210833143723668
-3.918918918918919,-4.2035469037418105
-3.908908908908909,-4.1962592510625365
-3.898898898898899,-4.18897017498251
-3.888888888888889,-4.181679664690455
-3.878878878878879,-4.174387709265792
-3.868868868868869,-4.1670942976772665
-3.858858858858859,-4.159799418781544
-3.848848848848849,-4.15250306132179
-3.838838838838839,-4.145205213926227
-3.828828828828829,-4.137905865106673
-3.818818818818819,-4.130605003257054
-3.808808808808809,-4.123302616651895
-3.798798798798799,-4.11599869344478
-3.7887887887887888,-4.108693221666809
-3.7787787787787788,-4.10138618922501
-3.7687687687687688,-4.094077583900732
-3.7587587587587588,-4.086767393348025
-3.7487487487487487,-4.079455605091976
-3.7387387387387387,-4.072142206527033
-3.7287287287287287,-4.0648271849153
-3.7187187187187187,-4.057510527384799
-3.7087087087087087,-4.050192220927715
-3.6986986986986987,-4.042872252398603
-3.6886886886886887,-4.035550608512575
-3.6786786786786787,-4.028227275843455
-3.6686686686686687,-4.0209022408219
-3.6586586586586587,-4.013575489733503
-3.6486486486486487,-4.006247008716855
-3.6386386386386387,-3.9989167837615787
-3.6286286286286287,-3.9915848007063364
-3.6186186186186187,-3.9842510452367943
-3.6086086086086087,-3.9769155028835685
-3.5985985985985987,-3.9695781590201262
-3.5885885885885886,-3.962238998860659
-3.5785785785785786,-3.954898007457918
-3.5685685685685686,-3.947555169701018
-3.5585585585585586,-3.9402104703132035
-3.5485485485485486,-3.932863893849576
-3.5385385385385386,-3.9255154246947885
-3.5285285285285286,-3.9181650470607017
-3.5185185185185186,-3.9108127449839944
-3.5085085085085086,-3.9034585023237454
-3.4984984984984986,-3.896102302758967
-3.4884884884884886,-3.8887441297861023
-3.4784784784784786,-3.881383966716478
-3.4684684684684686,-3.8740217966737154
-3.4584584584584586,-3.8666576025910993
-3.4484484484484486,-3.859291367208901
-3.4384384384384385,-3.8519230730716583
-3.4284284284284285,-3.844552702525408
-3.4184184184184185,-3.8371802377148705
-3.4084084084084085,-3.8298056605805915
-3.3983983983983985,-3.8224289528560282
