x,output
-10.0,-3.8731968721990864
-9.97997997997998,-3.8209432985898677
-9.95995995995996,-3.769364412188704
-9.93993993993994,-3.7184842034737864
-9.91991991991992,-3.6683262596982695
-9.8998998998999,-3.6189137512774447
-9.87987987987988,-3.5702694184165087
-9.85985985985986,-3.522415557986588
-9.83983983983984,-3.4753740106566395
-9.81981981981982,-3.4291661482886355
-9.7997997997998,-3.383812861603296
-9.77977977977978,-3.339334548123527
-9.75975975975976,-3.2957511004024713
-9.73973973973974,-3.253081894543
-9.71971971971972,-3.2113457790152644
-9.6996996996997,-3.1705610637787425
-9.67967967967968,-3.130745509715104
-9.65965965965966,-3.0919163183779306
-9.63963963963964,-3.054090122065256
-9.61961961961962,-3.0172829742206404
-9.5995995995996,-2.9815103401682976
-9.57957957957958,-2.946787088187671
-9.55955955955956,-2.9131274809325536
-9.53953953953954,-2.8805451671997417
-9.51951951951952,-2.8490531740519627
-9.4994994994995,-2.8186638992996116
-9.47947947947948,-2.7893891043456636
-9.45945945945946,-2.7612399073978526
-9.43943943943944,-2.734226777052072
-9.41941941941942,-2.7083595262506726
-9.3993993993994,-2.6836473066191573
-9.37937937937938,-2.6600986031845446
-9.35935935935936,-2.6377212294784367
-9.33933933933934,-2.616522323027628
-9.31931931931932,-2.5965083412348515
-9.2992992992993,-2.5776850576520456
-9.27927927927928,-2.560057558648288
-9.25925925925926,-2.543630240474317
-9.23923923923924,-2.528406806725346
-9.21921921921922,-2.5143902662036166
-9.1991991991992,-2.5015829311819444
-9.17917917917918,-2.4899864160692458
-9.15915915915916,-2.4796016364788205
-9.13913913913914,-2.4704288086999266
-9.11911911911912,-2.4624674495729555
-9.0990990990991,-2.455716376768275
-9.07907907907908,-2.450173709468583
-9.05905905905906,-2.4458368694543755
-9.03903903903904,-2.4427025825919046
-9.01901901901902,-2.440766880722765
-8.998998998999,-2.4400251039540244
-8.97897897897898,-2.4404719033475644
-8.95895895895896,-2.4421012440070937
-8.93893893893894,-2.4449064085610446
-8.91891891891892,-2.4488800010393392
-8.8988988988989,-2.4540139511418024
-8.87887887887888,-2.460299518895734
-8.85885885885886,-2.4677272996999777
-8.83883883883884,-2.47628722975256
-8.81881881881882,-2.4859685918587733
-8.7987987987988,-2.496760021616347
-8.77877877877878,-2.508649513974136
-8.75875875875876,-2.52162443016055
-8.73873873873874,-2.535671504977717
-8.71871871871872,-2.5507768544571725
-8.6986986986987,-2.566925983872663
-8.67867867867868,-2.5841037961054196
-8.65865865865866,-2.602294600357104
-8.63863863863864,-2.6214821212053767
-8.618618618618619,-2.641649507996858
-8.598598598598599,-2.662779344572093
-8.578578578578579,-2.6848536593168513
-8.558558558558559,-2.707853935534023
-8.538538538538539,-2.7317611221300853
-8.518518518518519,-2.756555644609978
-8.498498498498499,-2.782217416374063
-8.478478478478479,-2.80872585031061
-8.458458458458459,-2.8360598706771607
-8.438438438438439,-2.8641979252638876
-8.418418418418419,-2.8931179978319284
-8.398398398398399,-2.922797620819541
-8.378378378378379,-2.9532138883087033
-8.358358358358359,-2.9843434692447195
-8.338338338338339,-3.016162620901178
-8.318318318318319,-3.048647202582492
-8.298298298298299,-3.0817726895561357
-8.278278278278279,-3.1155141872064815
-8.258258258258259,-3.1498464454021464
-8.238238238238239,-3.1847438730684923
-8.218218218218219,-3.220180552956898
-8.198198198198199,-3.2561302566022907
-8.178178178178179,-3.2925664594602506
-8.158158158158159,-3.3294623562150334
-8.138138138138139,-3.366790876249605
-8.118118118118119,-3.4045246992687987
-8.098098098098099,-3.4426362710665788
-8.078078078078079,-3.4810978194282685
-8.058058058058059,-3.519881370158629
-8.038038038038039,-3.5589587632264923
-8.018018018018019,-3.5983016690166423
-7.997997997997998,-3.637881604679588
-7.977977977977978,-3.677669950569723
-7.957957957957958,-3.717637966762495
-7.937937937937938,-3.757756809640963
-7.917917917917918,-3.797997548542175
-7.897897897897898,-3.8383311824538233
-7.877877877877878,-3.8787286567514783
-7.857857857857858,-3.919160879966759
-7.837837837837838,-3.9595987405767956
-7.817817817817818,-4.000013123805218
-7.797797797797798,-4.040374928425067
-7.777777777777778,-4.080655083553866
-7.757757757757758,-4.120824565431174
-7.737737737737738,-4.160854414168969
-7.717717717717718,-4.200715750465132
-7.697697697697698,-4.24037979227045
-7.677677677677678,-4.279817871399489
-7.657657657657658,-4.319001450075739
-7.637637637637638,-4.357902137401522
-7.617617617617618,-4.3964917057430934
-7.597597597597598,-4.434742107021561
-7.5775775775775776,-4.472625488900151
-7.5575575575575575,-4.510114210858516
-7.5375375375375375,-4.547180860144808
-7.5175175175175175,-4.583798267596269
-7.4974974974974975,-4.619939523319278
-7.4774774774774775,-4.655577992219739
-7.4574574574574575,-4.6906873293748905
-7.4374374374374375,-4.7252414952376505
-7.4174174174174174,-4.7592147706647
-7.397397397397397,-4.792581771759681
-7.377377377377377,-4.8253174645228984
-7.357357357357357,-4.857397179299087
-7.337337337337337,-4.888796625014928
-7.317317317317317,-4.919491903198032
-7.297297297297297,-4.949459521769387
-7.277277277277277,-4.97867640860124
-7.257257257257257,-5.007119924832622
-7.237237237237237,-5.034767877934831
-7.217217217217217,-5.061598534519298
-7.197197197197197,-5.08759063288051
-7.177177177177177,-5.112723395266679
-7.157157157157157,-5.136976539871124
-7.137137137137137,-5.1603302925374415
-7.117117117117117,-5.182765398171666
-7.097097097097097,-5.204263131854896
-7.077077077077077,-5.224805309649927
-7.057057057057057,-5.244374299095674
-7.037037037037037,-5.262953029383331
-7.017017017017017,-5.280525001208364
-6.996996996996997,-5.297074296292697
-6.976976976976977,-5.312585586571563
-6.956956956956957,-5.327044143039725
-6.936936936936937,-5.340435844251975
-6.916916916916917,-5.352747184472976
-6.896896896896897,-5.363965281471781
-6.876876876876877,-5.374077883956499
-6.856856856856857,-5.383073378644834
-6.836836836836837,-5.390940796966416
-6.816816816816817,-5.397669821393043
-6.796796796796797,-5.403250791393194
-6.776776776776776,-5.407674709007377
-6.756756756756756,-5.410933244041086
-6.736736736736736,-5.413018738872362
-6.716716716716716,-5.413924212871217
-6.696696696696696,-5.413643366428333
-6.676676676676676,-5.412170584590734
-6.656656656656656,-5.409500940302308
-6.636636636636636,-5.405630197247357
-6.616616616616616,-5.400554812295469
-6.596596596596596,-5.394271937546363
-6.576576576576576,-5.386779421973479
-6.556556556556556,-5.378075812665392
-6.536536536536536,-5.368160355664328
-6.516516516516516,-5.357032996401289
-6.496496496496496,-5.3446943797275495
-6.476476476476476,-5.331145849542494
-6.456456456456456,-5.3163894480180165
-6.436436436436436,-5.3004279144199336
-6.416416416416416,-5.283264683527081
-6.396396396396396,-5.264903883649014
-6.376376376376376,-5.245350334243451
-6.356356356356356,-5.224609543134843
-6.336336336336336,-5.202687703335659
-6.316316316316316,-5.179591689472247
-6.296296296296296,-5.155329053817298
-6.276276276276276,-5.129908021931242
-6.256256256256256,-5.1033374879150575
-6.236236236236236,-5.075627009277257
-6.216216216216216,-5.046786801418004
-6.196196196196196,-5.016827731733533
-6.176176176176176,-4.985761313344298
-6.156156156156156,-4.953599698450453
-6.136136136136136,-4.920355671318495
-6.116116116116116,-4.886042640903142
-6.096096096096096,-4.850674633108663
-6.076076076076076,-4.814266282694179
-6.056056056056056,-4.776832824827554
-6.036036036036036,-4.738390086292787
-6.016016016016016,-4.698954476355964
-5.995995995995996,-4.658542977295042
-5.975975975975976,-4.617173134598942
-5.955955955955956,-4.57486304684158
-5.935935935935936,-4.5316313552367244
-5.915915915915916,-4.487497232879654
-5.895895895895896,-4.4424803736818745
-5.875875875875876,-4.3966009810052515
-5.8558558558558556,-4.3498797560021165
-5.8358358358358355,-4.302337885668109
-5.8158158158158155,-4.253997030614595
-5.7957957957957955,-4.204879312567779
-5.7757757757757755,-4.155007301601673
-5.7557557557557555,-4.104404003112321
-5.7357357357357355,-4.053092844540797
-5.7157157157157155,-4.001097661852603
-5.6956956956956954,-3.9484426857813313
-5.675675675675675,-3.8951525278444716
-5.655655655655655,-3.8412521661394603
-5.635635635635635,-3.7867669309281826
