x,output
88,7089
29,7500
53,12000
54,13500
132,16500
44,17990
59,393000
36,419000
18,430000
40,439000
39,449000
36,449000
21,450000
76,455000
36,460000
36,460000
75,480000
79,480000
25,480000
80,489000
80,499000
61,499000
78,499000
27,500000
42,519000
40,519000
36,520000
35,520000
36,520000
35,520000
36,529000
35,530000
34,540000
33,549000
69,549900
63,549900
72,550000
73,550000
36,550000
79,550000
76,559000
76,559000
40,560000
83,569000
40,569000
33,580000
36,590000
62,590000
36,590000
20,590000
22,590000
76,595000
76,596800
76,599000
76,599000
59,599000
35,599000
73,599000
59,599000
64,600000
44,600000
30,605000
74,619000
80,619000
73,620000
80,639000
38,643000
22,649000
83,649000
83,649000
78,649000
36,650000
69,650000
61,650000
62,650000
22,650000
66,650000
78,650000
68,650000
10,650000
62,650000
62,660000
60,660000
74,660000
40,670000
36,670000
42,670000
36,688228
22,689000
24,690000
83,690000
35,690000
34,690000
78,690000
62,690000
21,690000
27,690000
22,690000
59,690000
79,690000
78,690000
63,690000
40,695000
69,695000
34,699000
78,699000
21,699000
22,699000
30,699900
64,700000
35,700000
40,700000
80,700000
61,700000
63,700000
54,700000
55,700000
38,700000
61,720000
27,720000
68,720000
73,720000
78,725000
38,726364
24,730000
31,730000
36,730000
62,734000
62,739000
62,739000
58,739000
62,739000
21,739000
60,739500
83,745000
79,745000
68,745000
33,745000
69,749000
19,749000
32,749900
44,750000
99,750000
19,750000
27,750000
82,750000
18,750000
38,750000
68,750000
27,750000
34,750000
34,750000
68,750000
69,750000
79,750000
64,750000
62,750000
40,759999
73,760000
36,760000
36,767700
78,769000
62,769000
78,769000
40,769000
61,770000
34,770000
68,771000
75,775000
36,779000
99,779000
38,780000
79,780000
22,789000
36,789000
80,789000
39,789000
22,789900
21,790000
22,790000
22,790000
31,795000
35,796800
32,799000
54,799000
36,799000
22,799000
36,799000
27,799000
37,799000
36,799900
38,799900
40,799900
52,800000
59,800000
63,800000
77,820000
60,820000
69,820000
57,829900
36,830000
20,835000
62,839900
20,840000
33,842000
37,849000
54,849000
39,849900
19,849999
62,850000
26,850000
32,850000
35,850000
20,850000
79,850000
21,850000
27,850000
36,850000
20,850000
27,850000
82,850000
26,850000
33,850000
69,850000
35,850000
36,850000
34,859900
70,860000
21,860000
38,860000
34,860000
60,860000
33,862850
36,865000
54,865000
47,865000
53,869000
36,869000
68,869000
86,869790
32,870000
56,870000
31,870000
34,870000
81,875000
31,879000
20,880000
35,880000
55,880000
33,880000
45,889000
22,889900
22,890000
22,890000
51,890000
23,890000
85,890000
40,890000
34,890000
76,890000
36,890000
22,890000
35,890000
31,890000
22,890000
23,890000
22,890000
49,890000
34,890000
35,890000
40,890000
22,890900
68,893000
34,895000
40,896800
31,897000
78,899000
56,899000
78,899000
76,899000
39,899000
50,899000
82,899000
79,899000
78,899000
35,899000
78,899000
74,899000
78,899000
78,899000
40,899000
41,899000
34,899900
35,900000
25,900000
69,900000
80,900000
46,900000
39,908000
40,910000
84,919000
43,920000
34,920000
56,929000
20,930000
56,930000
35,930000
31,935000
35,937500
62,939000
32,940000
36,941525
15,945000
53,949000
68,949000
54,949000
36,949000
24,950000
51,950000
34,950000
43,950000
47,950000
61,950000
22,950000
80,950000
68,950000
30,950000
69,950000
35,950000
47,950000
48,950000
36,950000
49,960000
43,960000
31,960000
37,960000
30,960000
36,960000
82,960000
20,960500
39,965000
20,965000
21,969000
54,969000
48,969000
62,970000
36,970000
25,970000
79,970000
40,972600
76,980000
48,980000
39,980000
86,989000
37,989280
22,989900
22,989900
30,990000
45,990000
40,990000
37,990000
27,990000
49,990000
66,990000
35,990000
25,990000
33,990000
35,990000
32,990000
31,990000
39,990000
44,990000
32,990000
74,990000
29,990000
35,990000
35,990000
22,990000
74,990000
30,990000
57,990000
36,990000
19,990500
99,995000
32,995000
30,995000
20,995000
69,999000
29,999000
20,999000
39,999000
32,999000
35,999000
60,999000
40,999000
78,999000
33,999000
31,999000
18,999000
30,999999
78,1000000
51,1000000
68,1000000
36,1000000
35,1000000
48,1001979
37,1011088
42,1020000
33,1020000
20,1020000
20,1029000
53,1030000
35,1030000
35,1035000
25,1035000
31,1040000
33,1040000
42,1044400
42,1044410
62,1049000
22,1049000
20,1050000
61,1050000
35,1050000
78,1050000
62,1050000
40,1050000
20,1050000
22,1050000
60,1050000
34,1050000
54,1050000
78,1050000
20,1050000
36,1050000
19,1050000
42,1050000
45,1050000
48,1050000
77,1059000
52,1060000
20,1060000
56,1060000
56,1060000
46,1060000
37,1065000
27,1069900
29,1070000
21,1070000
32,1070000
49,1070000
26,1070000
82,1070000
35,1070000
26,1070000
54,1075000
54,1075000
20,1079000
34,1079900
22,1080000
30,1080000
36,1080000
56,1085000
47,1085000
54,1089000
44,1090000
52,1090000
44,1090000
54,1090000
19,1090000
75,1090000
50,1090000
40,1090000
30,1090000
76,1095000
26,1095000
51,1096000
78,1099000
45,1099000
33,1099000
40,1099000
45,1099000
56,1099000
37,1099000
34,1099000
47,1099000
53,1099000
55,1099900
57,1099900
60,1099900
39,1099900
52,1099999
24,1100000
26,1100000
40,1100000
41,1100000
55,1100000
42,1100000
32,1100000
56,1100000
38,1100000
22,1100000
53,1100000
31,1100000
22,1100000
44,1100000
35,1100000
61,1100000
41,1100000
49,1100000
65,1100000
55,1100000
33,1113310
50,1113310
43,1114625
51,1115000
41,1119790
61,1121000
48,1129000
35,1130000
62,1136300
39,1140000
35,1140000
37,1140000
34,1140000
34,1140000
24,1140000
36,1149000
21,1149000
35,1149000
35,1149000
35,1149000
62,1150000
20,1150000
50,1150000
35,1150000
42,1150000
71,1150000
20,1150000
36,1150000
62,1150000
21,1150000
39,1150000
32,1150000
