x,y,output
-521.7992353149525,-412.375121758236,-8.004000938578086e+302
-416.03858511556615,-424.32978499415896,6.4574801551656226e+302
-489.7379065573531,-412.72759390693176,-2.4958828743179724e+302
-512.1577980092592,-560.9152894439233,-3.7531815835331815e+302
-386.96054652330736,-595.0759588860885,-1.3824174874382758e+303
-628.4951335604358,-465.6966418049996,-1.375544414711195e+303
-459.67528710179766,-527.6116658962387,3.981272281821e+302
-483.3732737357399,-449.6844726682106,-4.0036529382422645e+302
-569.5125015975715,-457.79058449269405,-1.250701605954778e+303
-420.6731356247545,-547.6760747472707,4.423973169849554e+302
-493.67285591181945,-450.072989922826,-4.978411325474575e+302
-456.1641072862375,-432.1319381618879,6.50409575611554e+302
-674.9839573319746,-414.5921448553353,-5.3579649695011335e+302
-542.5958608337386,-387.3252969113458,-1.7133136313152366e+301
-456.2838752068712,-461.49627812390855,-6.948796556592714e+302
-393.9622779174796,-418.0172159643211,4.3338810007401775e+302
-473.07102270360105,-452.72867515028713,-3.2189650470304112e+302
-571.6797542195941,-460.5095812065841,-1.2589911476312254e+303
-626.0021329175653,-555.7121446396379,4.6081868581509175e+302
-529.7867342866749,-604.739235520606,-8.435405760014548e+301
-526.8530689911395,-394.6589532227246,6.905715023777962e+302
-511.3400993076957,-404.6723582143267,1.23906666479591e+303
-421.9357022716756,-484.7774663173915,2.983094635965617e+302
-385.504433101425,-553.0614750473632,1.0667664861514905e+303
-526.4136290544467,-549.1592747346689,6.967750747159702e+302
-509.7264951034703,-554.4873756927796,1.0927098273140917e+303
-492.7275054068222,-564.8422520087818,9.960714185584496e+302
-553.4961153555236,-485.03766594128496,2.0474574954589174e+302
-384.22940505301295,-507.72195964461554,3.0361494688932404e+302
-477.1167912849875,-633.2334661654543,7.327252601942433e+302
-406.58460477509766,-407.1252353416828,-1.8564351240373035e+302
-480.362369021471,-537.6035997316382,2.190225874981908e+302
-458.0767482982884,-543.7283479415925,-9.486621822190177e+302
-487.3342998178329,-578.2579088178734,-5.052246288718202e+302
-549.7894294719495,-479.5709254910968,5.553155733232515e+302
-551.7711940742466,-454.5671432410893,-1.605989770872569e+302
-572.0543042467846,-564.0341103976668,5.29070039651157e+302
-518.87761158915,-523.1905264348167,1.3859584903689674e+302
-596.6052619366694,-548.1248185941967,1.7336800255512216e+302
-588.4116753953934,-567.1630631850969,2.9152515234868978e+302
-386.2435641956009,-370.87256008882525,1.3169979186141352e+303
-465.1865787215452,-152.6978071705348,1.3672789678102571e+303
-425.6884122839899,-252.3707189527793,-1.834498537319882e+302
-543.2008414528112,-280.1571632313913,1.416695021798387e+303
-607.9842671015086,-298.3699337620827,-2.841126677687096e+302
-445.03688725789135,-416.6825662530349,5.9496242906709014e+302
-449.6981796278583,-290.62996376561205,1.0115997735090348e+303
-556.6838511408547,-255.94385670901164,1.1389289565897365e+303
-528.2735235014229,-303.318908559437,-2.768528448651774e+301
-474.4080860382061,-283.494970695801,3.2502876573254028e+302
-548.3160074001559,-147.40574158126574,3.3270770988584583e+302
-432.80937424404414,-309.0626567471727,-5.721814628767609e+301
-466.0879456277289,-206.25167995813467,3.3620868974387567e+302
-462.34503239124655,-115.41509024716524,1.1194741028530673e+302
-314.88119947522586,-184.7509162601231,-4.851513326623802e+302
-474.7610326203204,-194.9331559447509,-8.854474721149754e+302
-626.8687678657974,-244.85197774398085,2.133146119477029e+302
-529.8097183515252,-230.7367544993969,-3.6855318374841436e+302
-486.32651821678377,-140.24446556603107,-1.5129427863689168e+302
-523.4307720611547,-171.13401625093616,6.305078529683701e+301
-570.1490978838292,-470.9618890153307,1.0426923921802403e+303
-481.1626880151038,-190.64182548168435,1.0950879294893202e+303
-384.608476026881,-357.7205891283559,-7.939639364798996e+302
-458.0123641015076,-292.6121827189937,-2.3453313201766285e+302
-327.6969072747931,-285.01968777262334,-1.914011176171957e+302
-472.3188174159694,-304.9626366321814,8.147668013147386e+302
-364.8153134591552,-281.708000888408,8.365172906136474e+301
-493.6205652475674,-174.1175860203522,1.379314353898186e+303
-517.1502733486699,-243.571659638632,5.482584748260032e+302
-556.4195470462876,-249.37072808834145,2.106903640956112e+302
-498.6523993598241,-237.89556336979635,5.981674937166525e+302
-342.6059141492429,-203.1626306981191,1.711526991579626e+303
-358.178300491593,-296.8063994672635,-2.3753327074394514e+301
-478.8166252003986,-108.93423689185272,-7.946918950481275e+302
-500.140656495402,-215.6328611888391,2.76434046428893e+302
-437.29185711850215,-145.03134132404838,6.923612322171303e+300
-637.4952135456252,-254.2530710136856,9.879804867912485e+302
-542.2344519131616,-268.37703887295936,-1.3728779521795962e+303
-456.9347505016885,-171.02135627179882,-8.603445966565328e+302
-476.5962097772437,-332.353183807619,-1.4788753707406512e+302
-536.7912054786536,-84.13598681606375,-7.764662407577737e+302
-582.5653909523379,-20.894245444432038,-1.504269039397409e+303
-526.5609190212601,-6.864352950468225,2.198512601388261e+302
-467.1387255793446,68.57704294219211,5.031707094528559e+302
-662.4806659084459,30.18491625455215,-1.2824776094258237e+302
-448.7022778843754,65.73196173570616,7.97593511324741e+302
-647.7101464050202,65.2449199200805,-5.4655655123234175e+302
-468.6889703441735,2.363295648511214,8.975579080512645e+302
-395.4141124070314,49.00181895012567,2.2292953112913473e+302
-559.8865179087747,-2.632314434879069,9.258833591408976e+302
-463.9871014080069,27.73210031368903,-1.0261789898948665e+302
-589.9596886543828,0.7677370064379273,-3.61251458325744e+302
-472.5943197789704,-28.91573144608918,2.8811377361968844e+302
-475.3826011040453,68.90288875243328,1.036088121620848e+303
-435.211532818765,38.440016524367614,-2.6979866366675654e+302
-677.4572433648094,32.41098536702415,3.9904142517156535e+302
-544.4695144554271,-5.000062584455863,-9.047905090730378e+302
-473.6060971527348,21.562964364890213,-6.0065756809641145e+302
-506.6572701065579,-16.119191777720346,3.0698636548498994e+302
-579.2570340506218,45.393480689133526,-2.9071256479368248e+302
-470.2262987928066,77.30750407259315,9.558340226840545e+302
-481.6047230013832,65.91717276438189,1.714237338188365e+302
-475.9109335450629,-86.06610285378322,5.442922766996266e+302
-365.75562851706735,-67.02190101801271,4.4518840740214275e+302
-647.1263521364112,59.17673834605398,1.6278658817909862e+303
-506.7534326471057,-97.22669732500734,1.0024966882069585e+303
-506.7603525086711,-49.33537435655082,1.516629671505884e+303
-570.7679538581768,-17.934500403459186,-1.0032352602956145e+303
-557.4671294698422,11.960227648968903,2.741484302786544e+302
-448.99554206443776,68.55837334216413,3.1706947210486413e+302
-497.9344671120994,65.61400191852877,6.75503591876502e+301
-506.3105147441136,-73.63834047629446,6.92397560933715e+301
-450.4191727586994,39.61875149765737,-7.042106061630702e+302
-485.4102489531983,-159.75081243172653,-4.0359798972732825e+302
-424.64336123041375,32.394873236557565,-1.3770509257260662e+301
-426.3948076351923,77.71997397752415,-1.2003477325618353e+303
-484.7816723383558,-95.13285424905445,3.713843641275711e+302
-432.6277979319033,-61.72053575647191,-2.8061992575063146e+302
-400.5631923834866,-18.71711175386653,-2.1582066159715033e+302
-498.7737403911659,-14.769796560814086,5.0967799725866325e+302
-563.2531748736191,163.93939420305105,-3.8372614392755937e+300
-457.7524144746782,224.70172070138625,3.1469100681309696e+302
-477.1847027385123,166.54454039134234,-4.449537045495108e+300
-532.5354190336603,184.41546626652283,-1.2126767199420428e+303
-574.7662619074695,383.5066032900999,4.91972131035695e+302
-395.9835919957381,239.57333763549653,-6.109467172939775e+302
-453.2460553954946,230.47399157269933,-8.75666558793292e+302
-370.3797866490637,206.7781822861536,-1.3312180905783633e+303
-421.6756846311594,345.5875127210924,-1.7361847908005164e+302
-659.4974188376252,171.2225771766338,-9.13721965757296e+302
-567.7273309888908,311.0610191113631,-2.756883759728794e+303
-505.7795030399457,323.51241308100066,4.196304551300729e+302
-542.8613917555862,257.9391141188101,1.7186693830538398e+303
-525.8076155381573,258.7225088695216,4.8491829101615175e+302
-701.3141766367123,220.86125016313255,-6.440696879509393e+302
-521.6953930558324,192.179009266882,3.25610961828069e+302
-468.88230173158274,269.47099248970466,1.0035867857267044e+302
-555.1404680750273,265.6610041979497,-7.280400438657325e+302
-479.7823012508733,245.76771574062505,7.611816172065304e+302
-348.86824535650874,443.5677347344456,1.6087537496307989e+302
-473.5255375289569,283.00108492272017,8.425218574532465e+302
-418.6340995556905,361.5044264626959,3.344010862976521e+300
-496.6763499964525,181.30958518960983,6.509675168796597e+302
-439.6207863178888,207.2257606577608,3.9289004011179967e+301
-426.3118813179925,212.63661937355835,9.043154491670193e+302
-605.2678661073693,295.006756209873,-1.2953220058542849e+303
-431.0648850190429,251.91807077040468,9.821798978032405e+302
-581.7137310633855,104.2520891199387,-3.61037900312261e+302
-433.2700794247276,287.1773278206829,4.198584411211085e+302
-540.8664793909463,232.48399605690904,-9.190735056858468e+302
-393.3477948484427,164.66124183030135,-1.0801286782781922e+302
-497.3326877362446,320.74110807988103,4.903030750875304e+302
-468.4692054121304,208.48940136687105,-3.656881323112473e+302
-444.3484660662245,318.07219397551603,-4.476388371964366e+302
-599.8497378529598,210.06369505670827,4.0624993289958216e+302
-450.1351488394133,332.85148009002086,-2.1587093772864864e+302
-679.6995526255733,261.65566567349777,-8.489638879255909e+302
-594.9790261402552,159.05164595276318,-9.397652713077444e+301
-538.9408607665802,355.50801060636866,-1.9622346685036543e+302
-446.5489331328493,383.4021566544313,-6.352275434276263e+302
-539.3721959471998,543.570767676028,-4.650227489812003e+302
-623.7519170205484,445.7567965163048,-2.9976734732828413e+302
-581.0021354487517,673.1491385779763,7.058645721322564e+302
-526.7341325315414,491.918606722961,4.054211937660092e+302
-468.268102419602,663.2718018055765,5.186427340692921e+301
-409.870063127,469.40030623390027,1.3358553962837118e+302
-596.8508131969695,580.8008178058597,5.733500479570356e+302
-548.2722801863749,472.54322929845847,-2.0987449698548607e+301
-468.3418627772356,322.3307035618191,-9.274753025875578e+302
-416.21721864722326,570.9167577922167,3.906334304751608e+302
-466.1529068684988,502.61644842619,-2.4559513051560896e+302
-450.3720682234124,592.7158877962042,3.4263042727629463e+302
-413.7642132543425,576.3844819801889,-4.4716556000452374e+302
-516.0282070951641,632.0851968169663,-1.5707703985666156e+301
-538.4016201667373,442.5705161294664,-1.7908680348742933e+302
-624.9806357727973,463.76766252841287,5.832682032055739e+301
-403.7831027386608,490.59379485657263,-5.02912484329455e+302
-402.3755227460055,411.5180263756441,-6.6134852814032736e+302
-479.09622553248624,416.05365906250944,1.388949155507437e+303
-550.7578361134128,453.5608343475916,7.656111534256187e+302
-462.4754805968311,559.5340201626146,8.963283293726942e+301
-628.8105091986343,546.5650590114082,-1.121183111487462e+303
-560.7934626164011,399.3272254627029,-6.6012297963036234e+302
-486.9369248284238,421.51766539469,-5.32990192153967e+301
-505.2217793050439,343.17441942208154,-2.392599591595553e+302
-411.1389996489724,415.4299000555256,2.3385073502749724e+302
-509.6422641569646,522.9629864647318,1.964678619595006e+302
-433.3434390359418,452.68258419015626,1.0318190917946001e+303
-467.5103728655839,624.5495549624156,-5.523377048756019e+302
-419.20099876641655,474.33106424436016,9.25989500121621e+302
-407.4025521479724,520.4410316356755,4.3700454324737985e+302
-472.8970954914632,464.190094353033,6.6699073707221545e+301
-486.6079346144947,470.2201220047316,-4.2963398195120496e+302
-436.1830001775472,433.7065261736325,1.2541045646561862e+303
-608.3117786089689,441.5577271498469,-9.26308795467168e+302
-451.52750114120727,419.4953068272916,2.5966995240588028e+302
-510.4903175150058,592.7205659904245,-1.306856706368831e+302
-569.6555878877681,448.0564518788088,-1.9580660283973924e+302
-536.2129225747663,561.5544038053682,1.1425923175238658e+301
-461.1868480018385,536.443824995622,1.7413310320995368e+302
-189.15892137258805,-394.6059878691527,4.7340173854331364e+302
-234.8156659233472,-520.5556037535125,-1.9361572031476092e+302
-198.0329771215365,-585.8351632572139,-7.093592256310445e+302
-226.44150147535785,-299.4940754295922,8.168388393595798e+301
-213.0819935061185,-456.88930869583066,7.606600120031e+302
-271.919342693877,-433.0086857124595,2.061254042779733e+302
-210.87073346031636,-485.5562230556199,-3.632904005238497e+302
-347.974944883451,-553.9564768105985,-5.7981662513909765e+301
-167.83011312668523,-560.6449997243898,1.016801487341299e+303
-366.1656484007293,-481.7606240093339,7.750430101635721e+302
-177.45646577494702,-324.62198501389497,9.37135589655941e+302
-248.69092698890424,-622.858234912576,7.30495361821307e+302
-291.5472529104788,-550.7062066903572,-2.0316299531771904e+302
-317.55418186571274,-459.8444928178631,-5.3941098983319926e+302
-276.2083127817096,-501.8761181242122,1.398059717969738e+302
-241.41855324021276,-597.7077205313974,-1.4449111181479424e+302
