x,y,output
-450.0693312601565,-593.1585223751707,205821.68648008315
-406.2518289361049,-495.9800339799764,208288.71189172723
-430.1142022318157,-494.50943435530746,186916.33303797236
-642.2287720639163,-542.935399091457,297445.37436794577
-390.72140870438926,-492.8868363275155,117019.32687610463
-354.8117571204133,-400.60912015178224,145957.7712119105
-516.0510768551229,-382.8487329209261,147376.09425529308
-494.5004125506596,-445.1720915248698,280089.04228811373
-465.6104196253278,-418.3456236299799,206455.65205104472
-561.3893390839111,-557.7558028433502,280352.363501596
-467.6973412024477,-413.730635816446,167219.59163392158
-309.8495826181675,-587.236627662645,175281.27914440836
-417.5271544865344,-498.20081858468177,117882.62636237095
-532.1176560374031,-368.67697745727423,205556.62216732837
-379.937865779093,-368.7100755520218,110289.50693774923
-493.828197255116,-418.4481247126821,212585.8657011916
-450.9153699243632,-442.1345389970875,181973.39242915047
-431.233761758104,-489.3724781784419,205791.1357138591
-458.334256795012,-480.1064437781354,229118.82886788284
-576.820613142338,-433.6767180285762,250403.24121271045
-552.980728973547,-528.69713304191,354604.12901119643
-510.66035335764536,-590.6892967847465,314662.4310769736
-616.6762705735267,-493.88764268515183,354978.70516203425
-473.557125241602,-354.00067958656206,168920.62102617044
-482.0239211578192,-455.0874122617951,220715.47912114247
-371.85428465279887,-450.8101760676118,215495.50517534328
-454.9116799680686,-517.0328613716872,291531.5146975073
-448.0760291947814,-535.5256517579437,245298.2848608333
-394.61788777307527,-426.1638674983677,152653.0368742733
-439.0249413954656,-589.0819410765566,208434.7733788165
-544.8635196825943,-423.91058116964166,270142.4682065865
-545.7168207068339,-471.7576537384866,221498.14706471888
-626.0208559396837,-442.41172555563946,266590.99829254026
-418.7866731133162,-428.03129667921854,166762.11715195116
-540.1701740617534,-640.3214004704764,353492.70368452667
-502.67933929804497,-369.3528956941192,162071.15802900767
-437.3753609081703,-399.8123842430244,235572.5267237232
-424.6390726675084,-547.7949108779555,254582.7520991669
-390.667292047365,-420.0282659454104,118534.98889544864
-577.8371298512551,-479.44670782588986,233341.5365727665
-630.9501981871467,-306.4169495255285,235950.38525866225
-554.1486219100567,-194.44440432805808,140579.56317802297
-655.5300505936873,-247.08492927420167,184507.2515732459
-459.855481816565,-165.423306941851,11793.801139780226
-511.2713087427787,-288.33114966362456,190354.85094190337
-428.97175885535535,-153.24049218088825,61657.64207433769
-473.100798247971,-275.37591270785714,146486.9385312272
-460.95030577380817,-312.8076729926104,211624.134372606
-548.0653987146546,-300.5405901798015,145126.31637257163
-466.1949939269281,-60.61357537878085,23227.86424393497
-417.10838685545656,-204.09403788351707,103955.67866946582
-424.9277977857227,-166.8607139838904,61660.04061383348
-617.1307591879806,-200.08818137894892,157929.33935071778
-580.919307084764,-167.63520592338193,92145.1417290103
-472.43912687917714,-209.9612049751155,90494.172924838
-574.5503314471443,-203.7841773205244,142567.61752899515
-586.1072223017325,-298.74087020287163,238786.0274710441
-536.0040555440502,-251.0131360901965,148309.7269396346
-633.5091519738014,-166.93052355324323,101775.82353750653
-504.42299852637353,-214.6885584496524,35631.605892635474
-376.8400289557387,-186.2523186865461,72012.94860879763
-459.874526831829,-322.693641444666,186961.93252194996
-645.2411886862064,-206.9755133955404,152704.4299848769
-374.03494706875495,-269.12281404309374,143233.42159418386
-479.33486191452926,-303.9626114749988,149000.0279879961
-521.2341407242118,-193.4068561504618,124065.33803544306
-415.6309239468241,-207.25991102141407,121188.07879207608
-423.2873555732992,-272.69157349060606,97249.35900014928
-581.8139306726401,-342.6024711794016,121237.83969012531
-453.8463857263357,-258.66334133370907,148451.98415431657
-509.7768336442191,-290.47684161513234,148217.11853386054
-531.9120913241098,-333.2316824196007,231374.51810025916
-428.5619338433215,-204.31224552421853,114561.18285997242
-490.8785802966223,-235.8496995595889,64333.09740431626
-549.1205842553161,-303.74377774649145,103364.20340805186
-571.1479337404281,-159.788917290955,143607.9468096602
-512.4098940066605,-246.49677452775933,242596.30245634948
-444.7509390133188,-226.3605245067848,81782.43820711903
-382.1246897063404,-242.0670400405407,86310.10957193593
-475.3776631252312,-251.61850002204343,100851.44385578638
-566.0544744211372,73.9719248110002,52299.97677091945
-698.0209164185635,-31.504633040440066,41256.5931133016
-489.3879243591103,-46.34671580549834,-5625.557953971482
-418.9991834710414,-21.649509785518497,-77134.56594175161
-401.02554295930975,29.64681668432865,20692.57125704113
-590.4312362736385,-17.384361593541275,13329.410148147084
-505.43620858077264,-65.42753720715517,58206.51241740916
-572.4227390443334,-10.93028210137327,-45748.47371215895
-548.3215356348315,26.63520997298484,-14146.624009212865
-439.6211670255073,-41.89105520191679,42743.97250882187
-550.7714986395017,36.09886120773941,27767.74821100929
-372.68797796692775,32.74964268159096,9771.141410265578
-386.86554733143146,-51.91860226029267,29817.2882159985
-471.7200067356832,16.712008088142245,41820.19098457075
-705.5124098661117,28.32074357668555,-50342.268494393466
-631.9388360340386,-8.537551817875464,22111.854600830506
-530.8691354791247,20.503815846121068,-63439.58196261151
-486.5680752392663,-2.263150981864141,5284.933923042134
-428.980494837238,-32.356992957156784,41464.32319163676
-520.7220666852241,34.35356288478696,-44085.796913225946
-519.8848981128176,-69.85902283613883,672.1405814725877
-497.0636973756447,34.2194826005469,38495.071702946254
-763.8525290482515,-6.472462661389562,-35151.77987576008
-462.0196878424035,-13.405472176853252,13633.873750394683
-478.9039625903949,125.9843527247803,9378.424958914751
-474.15967140731306,32.556998409721665,14054.911459589488
-446.84304598394334,-85.45734482821584,69424.58135508274
-628.63465179619,-50.271826918756105,4455.6246832867655
-573.0910077265416,118.31908798482078,-115238.24195345114
-415.2925499995201,31.203642032875283,-1317.9224122353737
-690.2998938623352,-59.84298797806378,-19287.38616257629
-459.7841007141095,-56.374577558748605,25793.71872300837
-498.5340072636998,-16.030945105571305,32298.967627461
-435.90319090215695,69.5991839260529,-93365.22532636728
-584.9513079793408,29.068211426496564,-41583.92363882073
-356.0881249968058,40.97384348782423,-14371.25308386267
-671.750131542905,-17.256276679247275,30170.91792643824
-565.7899266899669,102.95394445319552,-10225.001082239542
-484.6010344919284,46.31990849012588,461.6933566031512
-490.06093816760375,60.81526856105123,-5850.025346105365
-415.1245463437992,321.31151664860226,-146547.44163412205
-542.5926820903226,279.1850199926137,-181171.8788123728
-516.9526223708968,310.16953652033374,-230505.9475466693
-648.9670956917979,303.5751950076374,-181970.73967034524
-452.4146273756179,216.6873218695136,-162338.90886473685
-522.0916891180376,285.804334286026,-133871.42817565013
-544.3455652285921,178.99691138250176,-119069.23166144916
-358.7891883411396,219.37086963501773,-73294.9951108304
-499.6980270451001,293.6674888530875,-147957.0801655321
-536.076503355851,308.0483934630794,-186373.6591632468
-537.7200967797717,288.1975107049229,-187634.05538864635
-399.4714167968055,280.1315776819606,-111942.94921969432
-510.6377508704228,199.7324239393297,10830.014082819398
-359.0101235501483,225.92644259738765,-99791.14291465485
-491.2938309446406,364.5165919126379,-237824.4826590448
-385.6212257445603,345.0807164028958,-136833.6567723408
-578.8980656828128,171.5906642079992,-136394.3858926711
-579.8957737979241,223.90559832579237,-142530.44152542803
-602.8242982370529,299.11601278840914,-164353.91621356283
-499.4313115312118,326.5118507977297,-113317.73008394356
-541.4413552839037,301.07529211337913,-189329.7713051983
-475.5783908443333,221.43090384899256,-147702.12781775382
-386.173648443869,303.93576113480634,-96040.44768542664
-483.2499642430439,121.4722000392099,-89366.93521759239
-527.9680446619728,295.414953849199,-138049.91562949945
-541.6958016854178,273.9181209360438,-126081.58264661962
-595.833182189547,251.02415514334368,-198523.866420898
-455.5999919008256,398.85466323799903,-177313.12751088792
-550.5378173771919,226.6349799819082,-76210.04424323609
-466.4795141697498,213.1281406553997,-76388.0877044491
-493.331851824936,334.99742080399403,-129505.54449817562
-501.9422285936489,367.1070061767684,-135852.58959836062
-432.2560633113253,261.0708763245013,-74895.00311752831
-466.6873947120002,76.86736589162047,-91844.10854773974
-519.038682699731,228.44601551972607,-67421.35815820316
-469.1355801601478,131.38119235583926,-111326.1758901089
-504.6403944158788,161.68783035755112,-41992.9319945033
-396.8162318540884,319.37979312545764,-136282.60339661784
-516.8120068500536,198.02640855038476,-99429.52745382144
-452.1475918474824,207.5208398383461,-94458.84229897847
-549.3526455895153,412.67344194902194,-222979.77640018496
-631.4689825948262,566.1120615284698,-351976.2028913677
-436.003076873126,611.9598934946545,-282270.99678704666
-547.648647326459,532.0190621891829,-312953.41105574026
-454.56683916861,550.7836808882889,-309884.06505565625
-464.1421592396221,479.5161016326839,-216769.72912166725
-570.1569647954508,368.331555560761,-190799.38165756004
-445.9958081317661,512.2626067593541,-196944.43646867207
-433.9666556552378,444.86211040217967,-144792.6381965945
-458.6196316998739,653.5126674977656,-366904.97893723566
-374.7959351995629,652.6073434603923,-223254.6573490865
-375.8938315593349,459.59259178381984,-201379.4261431776
-519.5734423822622,625.2879418572892,-318882.05011651525
-493.98856363734905,527.3940240037406,-239447.9227678684
-500.2111955658771,451.2482134296767,-241776.7800849328
-528.5621695726538,435.5190717084216,-223559.6084223642
-421.6280154374674,485.81224615259214,-216861.21833030804
-511.6926862451462,520.1026056330657,-296083.5320947684
-531.5459086694998,611.9442491093064,-360739.6340897166
-595.6530786936231,444.5677074323299,-198731.7028551213
-513.977104114757,555.2953069206746,-238797.17926458383
-401.15911276895616,461.54000603324647,-188502.79763080625
-462.098661274921,404.1434693273807,-145262.35141346825
-431.4310511029241,481.65097275398745,-221532.5265913848
-604.831517585067,522.523323423144,-326970.51528771693
-412.98884779381217,306.94520780954144,-88396.82566629074
-549.8675811678775,384.1207770373303,-206415.3247793763
-632.8722404922809,545.3552255273773,-354545.7029257223
-584.3891137890192,367.6681091551432,-169491.59800552102
-370.61591473727833,452.2357225303455,-79111.0273450441
-492.68038715439246,398.199706786911,-193442.864048288
-620.2624900371603,513.2635309929108,-382529.4815917785
-411.9155943735172,572.7589679466919,-222961.06244317172
-405.8538643012711,435.6491494954429,-137710.53752108407
-511.294672889017,444.1001508484368,-270434.6902108969
-474.1454070439872,682.8781720520446,-300173.8921595001
-516.524539496976,436.32027583302494,-173107.20282206577
-410.4268256214749,498.7320741127389,-211489.35563624
-541.3701210024257,381.42289531241767,-180249.0081375299
-386.8895118242924,393.859097453369,-162577.52582287893
-150.31730986280613,-467.5202809986095,10048.6307600824
-279.3935794728553,-440.6012690224984,162753.02939944254
-280.92297817914096,-486.08979197003765,149672.51937988287
-252.99856476215277,-623.1866967680436,149084.20612813043
-228.68349875242228,-555.8494461174397,82507.42707879603
-261.97074492525115,-424.93178075154606,83531.23721622785
-246.40515614770248,-572.6662782296502,143033.88881175627
-158.08462503423058,-592.4990252272744,44558.60119861554
-278.33193835243486,-489.5504460052285,161150.4741961049
-99.67740024063669,-419.6676361444136,46196.28713956172
-345.7639561609336,-563.3022933086908,165200.99879256033
-261.5247298489822,-467.1839280313179,105163.1948947864
-224.04224567385955,-473.1669581783779,132484.7816223228
-271.4657529900378,-588.7329547472592,149328.54391047955
-347.99812593044214,-388.3502218930704,174792.47466597968
-217.9209940757372,-552.9376971551765,148216.76870932447
-256.9958014414514,-509.3653400157521,51431.987411579
-240.976497968189,-428.5163082742934,37372.43402491212
-354.4464652822477,-424.3125124768146,184252.55529629352
-248.4159693713005,-463.9909509523762,155855.00563374817
-271.2986153986516,-485.6981302527856,134050.4883383823
-324.7708742875909,-359.63448335533263,90257.71294612349
-309.0883077011132,-607.1357593659416,200960.71391813428
-391.4752984175158,-629.5643516097288,198698.04658718535
-275.2221918129593,-639.7929012927427,249826.68617984268
-187.9257924769832,-572.7415630320534,66684.68964634981
-288.5833368789603,-345.87211200255007,118223.0910217904
-341.3260052572603,-393.9913272541326,142073.6889579889
-359.85665501009305,-448.7147689061162,188188.51444445652
-220.8655502582175,-337.9997450779905,81515.45459816934
-218.84273045566235,-468.8206121188952,172152.9780132094
-222.5719610191225,-407.7922971959155,154483.89523034837
-304.1233730814439,-541.3940588070792,149179.7474381841
-299.22714304664225,-610.7558890638751,126118.4278183192
-68.33515519015451,-460.871892693411,53403.48232247138
-280.423301244824,-523.7312186966232,137145.99077054416
-199.7883095507371,-413.4752652540184,65300.40726303159
-314.6486558905429,-610.0978799141276,156867.05120835232
-184.21968311839947,-472.0081823483753,72626.42266442534
-269.08061564750534,-451.9115311615838,80496.66365867194
-423.0353641711274,-345.1922539775292,129224.934101132
-329.8283666532881,-253.56731754637585,173607.3886689524
-160.35207876093222,-218.11644242749767,-10903.1687636962
-243.83387535141492,-237.3757867324865,52256.43294270152
-217.9503772606306,-272.53374945093856,57497.54445132785
-297.82771167791867,-357.40572360726327,64873.3646175406
-147.51053470770233,-270.7880880958144,44297.68339536424
-271.35046142768334,-235.41641014263465,-24908.90243955924
-355.6285740401719,-250.01613059181852,161987.2888820034
-288.615114318993,-200.05283123828488,16194.510078587227
-262.77986975867987,-208.07370165821263,54070.48483829032
-307.0290827777928,-228.7330913150819,90547.10213153197
-231.35375030288148,-98.11877560719188,27289.357938808665
-317.85271691380245,-329.0591728758968,133675.40115861746
-187.4459585079355,-331.2394498322116,105485.26840830524
-220.8855044891175,-291.8350953415882,107983.38209352628
-205.53785404592332,-260.6494096802964,83920.86056577598
-252.006714002922,-63.41973498181167,-30964.47605562477
-178.33180079850612,-236.983636014585,86068.73274579576
-190.58147134541267,-375.9652181946557,-44248.21996174591
-337.5527148736574,-131.09380816867937,88031.97599241105
-178.57713009323965,-332.79296444970845,41440.2197532626
-274.30999045756306,-310.4850811405452,109840.2439242888
-301.10075827534365,-239.6659412476281,12950.234388954535
-217.93094239999,-202.55983193241488,68570.83108377436
-390.75524135002536,-157.95557664078547,63688.728665614326
-197.87836266074055,-313.16386920241155,105264.24847636522
-316.51377167360187,-293.71235666284457,43096.67676039065
-198.51518921307468,-254.67733901454253,61524.10998965737
-292.92853267680897,-263.19733968428943,63233.98977841804
-261.867019911631,-348.0804300145221,106825.75269638376
-246.54514494202547,-97.8231874558065,76958.17640387856
-91.66668134840712,-197.52663073250577,85320.5865789919
-223.4553114341847,-286.6586707494893,-10771.921606428688
-183.68129696521007,-218.44168112283583,-1454.0879381375344
-200.26728893204077,-378.1751110082608,17386.87383864785
-165.30158153347776,-251.46281054480497,10475.07347962098
-374.855310283132,-429.4575346096363,110516.77636526662
-291.6262729014429,-334.259838087594,63402.03630221229
-174.6755554360031,-199.6607991877899,25163.27746650988
-267.4551712989148,-21.393864135529004,51834.6185003343
-201.7626494260817,-128.48286497740244,30859.7705408867
-209.85988411531704,35.157296608995615,-31730.184865360865
-171.705785223534,-69.34151073949627,39852.97240642079
-225.7695895448093,-30.154835173753,34423.10543281061
-256.678496886914,54.67750107000285,-15843.481195233828
-353.02719038014226,-17.001611373021635,18107.325702331957
-189.88550494624343,36.53784769098282,-21529.509862087554
-204.1288878382904,-12.628231793293612,138445.39805407712
-351.082996678041,7.999798217602493,23926.423609558413
-345.8774692620672,-105.53396393459732,6186.646634975132
-256.0423535646537,-27.666896483021272,22708.11755567928
-199.941314695234,-92.28141045005864,54992.33409733436
-197.33868441763752,61.8174509444969,-8308.160726910295
-404.9101417104059,-11.328161800804663,-26665.047587186105
-212.16381253475691,51.81502111620749,-75878.95179299274
-261.24550055185944,-13.773521322257128,38252.41552887975
-315.7934151724383,45.51153064456719,-19318.677646678007
-256.9223744891165,-1.7618362212894016,-34891.163654424585
-251.2198563361504,35.85441070054644,-55998.03684656099
-137.57390083228748,43.38022095229748,9069.811756421648
-233.2056852296328,9.188209755367158,-27420.094826303157
-254.5361636804193,9.609723699838336,-16569.877182060234
-296.06898454240473,19.44162123744552,39889.36396330524
-234.55912494757987,-8.798002565949364,19623.097242716216
-210.5039874673581,-9.984966053568948,70903.50246090132
-311.72378654933283,-38.71284081363677,6047.079315515375
-164.53049322273537,-1.2825947509367688,7250.234140218378
-317.2802562113157,-18.01908333088925,16014.365296071006
-256.7395550793522,23.828186628978173,28422.67662591546
-265.5573668948974,-1.7059347138936356,-27353.59081508947
-235.74903248229185,-106.85838897356476,103498.83373552264
-324.8884923166781,63.7786446435815,-107700.71316104164
-299.8771580311666,57.7764759035712,9889.98250713232
-212.55793163695603,91.35378498984088,6066.664005240364
-337.3045036913489,44.44299948250385,-44358.73167624982
-238.339931067058,36.58544005292361,-22656.102140825544
-196.00680694107663,5.537030359781878,-44440.12285963764
-256.31228356865046,72.00954022591586,-46297.81128801826
-279.47239462642136,-10.391534676577262,-29759.98560074791
-171.7597872056893,223.8147332175899,-108250.16631932344
-295.28139877226533,318.63457476849305,-156373.56646027084
-280.1485108410524,241.35284129921325,-45023.778718801055
-116.16223081933136,291.65544752928173,19859.389795707248
-281.70264398962075,212.3590849299294,-51450.5344365014
-233.32991402765893,274.9587459040507,-16738.713716553342
-246.3709112382681,279.90420106492616,-94813.48938343902
-312.3838215383776,225.8468261732288,-117994.43689215956
-240.75989956157025,137.46290952739903,-51135.85624959432
-347.16019785612644,223.75164017331963,-86909.08377875366
-241.32500499605743,145.28230849448437,-66948.7396691203
-287.79169904424896,270.5590577291981,-90928.25368613008
-305.9527364915496,212.8005644467298,-9131.605480915256
-252.12639492024385,185.1438263131094,-14182.522707303302
-290.1223010848636,315.91628566341404,-88759.61693525886
-311.72575379404753,232.2151457489532,-81097.90597894437
-339.06033956925563,195.59696915715065,-42275.86092366809
-221.61107905007972,340.29603010990724,-91918.42720310984
-233.0195339678719,316.0685670337046,-70210.30377990939
-190.4226316653285,224.621301593272,-98816.249693074
-207.87950573393303,225.4605046332323,-24931.07713133114
-169.29190145376924,204.9547598724984,3965.6593144765066
-202.97644713279195,111.39785525839424,-19928.00015810117
-251.9121426091649,257.4461112190445,-73613.4427041006
-239.86039067756832,246.78986255999607,-79811.3612345071
-414.2120384007205,272.59769736246966,-67377.86360724666
-245.8294351662384,269.4541477113419,-54576.86619088373
-278.62994722693287,265.840393448785,-72221.2574005453
-180.39837956139505,221.77513052717265,1138.9770216916368
-53.8372963139214,313.29866982900404,-37047.96629352454
-117.26514180477623,235.91421166913972,28553.99805323685
-306.0263950752413,228.07650884342,-70774.08511384399
-302.834059565611,82.21140601032494,25642.826106974047
-200.6761355353553,176.16640625638928,-38570.43783884197
-210.45463042210687,223.77379549203,-38309.94873128734
-190.5679905921294,295.46872009613014,-90662.18190675674
-300.1914440101573,199.3787818009425,-76482.50691537038
-229.5919560750961,173.93445446087293,-42131.08428885396
-150.39106015594368,205.90400440834296,-62045.40881032479
-342.41275388385566,131.22327505308994,-26169.58255738264
-290.7108821239654,516.448926796378,-138078.71681574025
-356.3309697310149,617.6403696219479,-281991.22121806553
-259.9445587976492,442.01984775528393,-29500.937525961577
-191.5138608699902,390.2939890630777,-101646.37313134831
-321.1558476040473,513.2603273192503,-201917.09558500623
