x,y,output
-452.1456203652342,-420.0848855518864,7779262.094020907
-474.96211225921536,-506.4492105260578,-35631528.182662226
-423.6379270320948,-551.724683010578,92964645.50993112
-454.6145026772115,-328.9383849665388,-107518093.79515222
-555.1794159559194,-445.70578115703495,-124634236.19547208
-496.5370718736653,-555.7199438131702,84260343.38115525
-486.7183550937267,-518.8423426394372,88370107.01248276
-485.0097054192482,-502.5341829725078,-23957569.23816977
-489.8813471404438,-503.9135826325015,57680480.87061844
-458.90407717208296,-555.3203404090295,67223052.50171565
-456.4900877550363,-576.8024079335784,148194988.83479345
-383.344381385212,-470.14631120770906,-22206467.396977626
-473.6637216129329,-704.096198923087,230913254.37526432
-505.8038924915964,-320.92556867578577,-187037810.47040188
-412.2827376539647,-497.1743464126383,56740531.37159655
-443.9585467078614,-384.9986825572053,-47682355.809810415
-360.3488550023068,-552.994580320184,178883544.41570222
-518.1443651920655,-595.0431382173294,99641741.8882744
-547.1777563983861,-492.8701373240241,-64849994.29387961
-581.8733658255568,-389.60085605434057,-69367744.54004116
-424.6968240720003,-482.6190841115005,57180107.08919214
-427.9799270229501,-470.3685347656024,18863985.057016127
-545.7369884993974,-592.0517466620566,70358238.61345942
-711.3883438753214,-453.9533693770945,-347818435.92483515
-506.90330620325625,-497.49240143812415,-94586705.54489136
-481.852045452294,-379.5340105728884,-88232876.83833534
-415.2499667101514,-504.8986000571348,36526688.032488674
-520.4399651328479,-449.3160956031913,-120163310.5020218
-540.9391290563271,-447.7198069554928,-95157289.8738078
-425.0162308072062,-479.1472798708303,97409285.28862032
-475.7174377517458,-449.4254509840389,-113631402.27993844
-417.16510299621393,-577.5485921110807,119078520.84871083
-609.0873105454622,-530.5679960919466,-127723648.73416393
-576.4093910883366,-463.6469819276898,-31471588.607625872
-405.42754056479066,-572.9879084145622,143263373.00234875
-457.0958522597004,-400.7185678774571,-25136050.05399325
-472.611202526715,-495.21580754643054,9765817.001357842
-481.150846723905,-557.8712298433867,-29084089.74678351
-590.9059169238818,-652.0642431548997,44891352.7949602
-508.3825315521616,-436.9071197672756,-101298540.81824283
-548.5688440858079,-334.42874462216605,-86026856.48760942
-574.7370057967873,-250.95300851391275,-231043683.56186536
-560.0083734025826,-282.2618419669336,-175852695.87611893
-558.2849869198545,-187.38792380435896,-110359609.91322687
-302.97422612336186,-384.9655875767987,-11707373.442329943
-486.5921872113424,-226.18327733595729,-76372718.10201734
-511.7540784721168,-299.47561497615067,-83821656.30992505
-523.4345316643037,-290.71061805436136,-143722378.63779607
-522.6997359866316,-294.059381468198,-103480190.50669624
-497.3995278591712,-312.4383348701665,-76516168.50438306
-368.12865132969216,-293.8123831329543,64844140.02412408
-595.0406532349849,-332.90720029302133,-237349803.7765157
-667.1765775621369,-301.3443734281865,-246266735.70829272
-492.4994436504825,-191.2908636298838,-137544419.09910786
-539.8652190483492,-234.81008859553583,-192918977.71157023
-457.6799315751986,-457.8145830812205,54775387.57725439
-456.19665219549057,-343.8153124355684,-67887323.51283401
-494.0444534709345,-184.75488024387963,-149242244.42685556
-412.697183153248,-186.3019011536384,-6773130.738353662
-498.6367844079316,-269.6812376690839,-28039297.94342688
-560.7148019826657,-235.05634368566584,-184925684.42652145
-437.9004102874866,-199.0483281405473,-40573569.71588674
-508.6988077368762,-291.5024027661154,-88696934.06041752
-521.0839297023438,-229.2535161422355,-128591378.10100175
-542.9891033245963,-273.8992752806672,-182998602.6023188
-435.7117579478861,-280.06055690638107,-55368245.77419351
-669.3880979937394,-245.4158887737476,-322455000.0695204
-418.7262654321689,-397.9476878258158,-15940381.209907811
-559.7548404414392,-307.9390200864122,-132534104.61434942
-435.9646187433072,-166.59909306353316,-130024260.9674601
-516.1150725113929,-182.8236819863713,-155536734.51638708
-503.6753354665807,-270.6006168945334,-179570571.13025486
-592.0032621137916,-222.28916399276685,-266900597.5063286
-492.20274399648696,-264.5009810309396,-67022584.33950312
-583.8615309536568,-272.527757815082,-201700515.75819683
-566.7466268983308,-236.73337489813463,-125922436.25514786
-346.1489188273489,-322.2786754642679,8596421.284760231
-431.4974118064715,-257.30663173607337,-123628107.55233067
-664.5176592287669,-222.5037759094506,-218221539.07098764
-481.3895614022172,-155.72330291761455,-98929299.2243506
-531.3514368923408,102.65853860797743,-116547093.65814468
-582.831144042088,72.3081540928867,-209566794.2964336
-602.1324733373782,-95.49325528802684,-312802012.8891959
-443.7987739190469,-70.90424127952693,-109177099.06638177
-626.0500184019628,-23.736335507083936,-213678566.9591238
-574.5858595682953,87.1948503435562,-190028764.57090536
-461.3551108892839,-87.82493012413876,-60603057.81616625
-533.0241732760844,-140.50341934555044,-189117611.446502
-513.2997633139277,-120.61040734121644,-126945692.3565396
-569.914897881267,-40.85935072747428,-265198860.3815916
-569.6774587722869,-46.5128557693713,-189668275.4936972
-607.854596433574,-28.43696553220189,-243765749.92766997
-502.9321203128752,-24.718657507367,-71822383.73623708
-480.2813957886946,-173.40468822989993,-201175624.5992052
-534.1372760037432,-8.617870507956942,-179584456.1424469
-547.1220265558035,-38.65698482630024,-122872349.34719768
-522.2531522461962,78.25189961602585,-240883965.59675044
-631.5842677263886,30.088958447914877,-260085883.83713868
-371.04602456632057,-82.13381300741544,-62620171.90861053
-437.5284055779266,47.739310436671225,-86124413.44648694
-430.57091388867366,14.242358556408377,-122744940.114827
-502.4404246224293,-56.75877397051503,-148922171.5240921
-525.6188607863678,3.751996408065265,-153206978.21943915
-568.1787361039621,14.875480841863387,-172929424.91118616
-430.844799678819,46.99567990007299,-53668073.791535296
-525.029903755606,95.74998734088108,-98389712.85902756
-498.6699809480464,-61.36006839757367,-79958149.81391694
-505.221435516979,36.19239484016852,-137615937.4315666
-581.4058405021445,41.96479504586201,-218585023.653773
-602.8897164318536,72.02250670379209,-274595310.31361145
-487.9481486451993,18.37159629606995,-78872828.80751063
-597.5849203112084,97.0460268310236,-237237135.7256002
-478.2385179026748,4.3342464597388535,-109101064.25371891
-516.4293421661207,10.746251150210735,-77762229.59826949
-550.2691287430653,-15.674846966350064,-153950686.8306795
-441.9448458794968,66.63538774045341,-45820175.01635766
-492.377304379222,-83.62483190632562,-113508871.2314826
-607.4978852467816,-24.264732998102737,-264547490.68955976
-496.2820681671246,-35.003611783357954,-125638858.9799866
-412.9638644087273,-8.2736662642453,-31592306.946933284
