x,y,z,output
-572.6310027930075,-491.0447846473514,-435.41319361935246,-9263182.51421665
-465.4508783314862,-563.7994182789522,-700.1524723048724,51013539.97864765
-598.147767861599,-276.86341232141376,-520.0062667658412,109513398.94557808
-440.1847584103124,-549.7243960521653,-610.7193174541741,-14994068.763415698
-449.6651614309356,-575.314315651224,-498.9440268210723,-74517635.49226221
-576.1183691408521,-440.819163882241,-436.7674098709724,-19134861.094389133
-641.2632969954224,-532.2924680405448,-402.46547079502136,-35553790.82224826
-510.6710804019932,-500.7668720380008,-618.2765884903908,19243028.816086784
-612.577743702602,-203.03731272157825,-466.7769522139137,218423879.38096052
-531.2734505264206,-288.86419613903394,-627.4048235231251,168444752.4063785
-580.1121403525502,-287.02477657462134,-514.7647631212986,153763200.62401205
-510.6141234217839,-213.98728438621757,-355.82002915449914,58786744.20160082
-483.7981477059451,-242.3077751550453,-443.5457972678021,-10141804.874681532
-539.9768167210653,-250.2993553894745,-567.9101161079597,117308341.49522908
-426.9469033272382,-259.2193785419515,-566.3240451907192,56463076.81226432
-418.74256533755255,-228.4777110275949,-416.9960913296789,83998570.40037459
-401.222891257136,-96.63332154453904,-379.49264276335606,2256141.984280519
-578.3208421021827,36.37681500074609,-556.6631273052691,153461266.67863104
-462.2778408038986,77.56529389123203,-489.5845994249495,153989567.7501256
-506.0774207641335,-50.74827612720932,-484.38753434986415,205383669.60914344
-513.9892675145403,62.96352766935598,-535.2702944302882,181431184.52834904
-603.9427276124724,59.3453359834789,-522.3048753692119,249489154.58971927
-416.083882130765,-133.89889237315214,-727.2594609002342,116714590.21985276
-512.6836141326531,-0.4908221907985955,-484.3540359004684,159553151.69606748
-460.8225031042032,297.8445547522659,-677.2154184588829,109134672.4281328
-636.6356685579909,270.58398584840694,-429.1626673056684,196055462.61224496
-402.8261960748624,218.063410616246,-393.7768682737269,407438.4164262116
-434.1739940008115,253.51644639538293,-589.5735380344341,62379581.080943406
-648.2348918911005,206.124095612862,-548.2212677484889,149676272.656884
-471.71937332894686,171.15270639236832,-484.6016273922112,91033527.9158048
-529.0454029093603,186.9011230418939,-478.83484333768337,118113840.07061662
-585.1845697937473,330.5200521798807,-570.8792502701054,116543725.64824142
-369.9180015740663,530.1346306226042,-496.8691531666053,-55331539.71865975
-321.2411806602646,502.072760462623,-507.34100491085314,1315726.0803359598
-511.5167029455167,586.1736661398024,-627.3875404110115,-5107783.910671828
-538.7755941301615,429.6385720435078,-660.2154245629009,106728434.60689718
-571.6511382234809,454.6194964408217,-521.7518444729186,47178918.75874024
-422.3459560538085,428.2004802616166,-509.32050044437983,-7058694.540539134
-534.2468287916874,469.8466949530987,-584.0163415748459,81699678.4651171
-436.889522926432,547.0580120138194,-444.7171678152328,-42322373.14966597
-208.17986573635065,-559.4171563689858,-498.7553842659914,-39777954.22295058
-192.84037327816043,-565.011972238785,-442.6055960798265,-114513938.32488126
-279.2002384797719,-544.4321952069428,-442.992975030428,-40060785.32164881
-237.36442036544892,-442.2122584492304,-623.4365526804967,584446.6806079969
-334.2213260182584,-573.5363821017145,-505.61292472226455,-16141921.003543578
-266.1666826181004,-475.7001474390614,-661.7808963344598,3024586.7655530386
-353.96747540881177,-475.1149331085023,-587.2273230336864,-46019323.26339351
-264.0894313619263,-510.3472625153662,-473.48172566432174,-54922019.235695794
-258.70977686765264,-320.143066689934,-543.365242935809,39210055.05797158
-347.9960719001581,-273.87668814823166,-454.03384361318587,24287348.40709984
-267.30898839160767,-224.0287624293798,-479.4052806567915,-460453.50981315225
-232.8122290873408,-278.1577154370393,-668.4064114997744,-8608788.159598105
-197.63697889413197,-152.70509027082605,-528.2210328193233,77263104.10256359
-120.16832409482296,-184.6755691907202,-681.248203749389,-28216406.340571634
-183.3602359983043,-352.204798136972,-650.222433929328,4678750.27424542
-194.75692500701072,-256.89121369399965,-370.4769133882773,-26162620.84318397
-260.5373430290218,24.54404854413625,-421.4741342682721,-55695854.59992088
-329.71378051206835,-34.21465148148686,-485.7408832241167,75303329.2711167
-268.68281866659504,107.96903650816742,-540.6295409196406,19921955.17770457
-292.3497548710475,108.80826797461684,-465.62225455956576,88982706.53407562
-322.6447980579951,-96.76939128986214,-524.3260380381723,50133245.70774883
-241.54653181183545,-52.59397835657176,-482.1364370209786,-38534366.68909206
-176.9847685291174,76.21890746865243,-376.5416589516121,27056424.34700093
-296.5121547024065,-18.89791168828617,-450.2258320714445,90699899.62245192
-242.48287483105685,265.64521248362246,-430.9592656716952,17485779.737270154
-304.43125267957174,166.2167471981859,-471.735342283859,-25553028.576748952
-298.3496396794192,272.3939859870981,-522.3689063954346,90027562.26211596
-328.6075986144898,349.2910868461764,-628.0750907766677,46474446.29506406
-349.6116832844999,285.5565022768789,-450.63107664926986,-4837866.954287205
-318.94259947697174,196.4190141965251,-554.0121393671309,-26311874.41138558
-268.94391596713456,237.0858382294319,-591.3652618000182,26225256.98317484
-243.1984033319769,206.68330399935644,-708.3716495726873,9383793.704015266
-284.1275927443812,631.2396399117625,-501.1057482232846,-67218152.04789321
-238.88512670529263,582.3305582926262,-452.5837384470792,-68418563.13876809
-276.5805593634086,454.2119886841111,-470.084128627164,-43440218.3993917
-293.3794408687285,356.6575591609747,-515.1836449125982,1111814.6008968996
-261.20107980931147,526.9715429199994,-607.5903615558484,25045696.48440686
-202.9768639229172,496.4191329728556,-445.2866334714324,-18056537.821961146
-288.484978516356,292.69453569434063,-446.7752305692532,-33765022.10991599
-282.60257779087004,571.0936657093298,-541.4863336223051,-66668566.75514496
15.418965404078891,-509.4601466669046,-589.6513288637477,-21553301.882363178
41.99256129987042,-398.112394234676,-592.0257020838123,43229347.97605762
-98.12921231268383,-596.822575149542,-593.180981097386,-74692311.07062675
-65.24801958625066,-414.2803665105132,-518.0777446543212,-22505173.84858798
7.1953908376607485,-438.1035187821464,-542.5362770458311,-58083584.73716478
-49.35780341270519,-446.4124223572632,-399.6128933457382,31450207.538766384
-38.35266558574295,-476.9384300435709,-454.85928475475504,-97744571.97967838
73.45460108793465,-573.629490939425,-496.5572590540692,42458961.18573438
-8.587278976817313,-232.3172500689679,-675.314424332894,-38714773.41895924
-82.71147207001056,-132.21290255178909,-320.80623000523804,53570586.209684245
5.589919793745636,-294.4326263031624,-434.3803583307568,54323425.78897865
-18.074781986292265,-271.5357994802198,-437.21754932346886,-44136984.21966893
-54.56150335201785,-184.1799971653245,-477.9321492347698,-18050425.70231778
50.53780016349514,-165.03704974951006,-416.143280484608,20179875.45325249
9.634884491400376,-133.87592409103266,-416.55099577123,-29303496.63218985
88.97698532151378,-227.302143789216,-467.95508754924055,8751637.745942183
92.46619196809633,34.813527188345574,-476.51747576846776,-27256844.521428976
50.0147784780925,46.675473020147855,-508.264422177765,15058994.841783118
-63.34993640714762,-49.90759479963492,-445.76277159139806,45981851.37991643
25.78555744751227,-61.20749607165938,-608.2818100366462,-6594177.740051576
-25.796190451487984,8.570465023956134,-495.9596316812263,-19360787.96827333
0.8556960761791115,-8.430174062983316,-593.9035120969214,24430900.727480564
-22.7822166050249,-45.46179466081079,-571.116924137841,50976915.563300624
-57.966288794142415,-28.386807722331536,-478.0934662058223,-20421489.804180264
-38.58560170103904,126.1436018545108,-512.976265906811,2777196.9883015817
-30.03901902903701,329.7010605323878,-445.623482524904,-94636295.68282036
31.41400693332012,335.31968132883776,-488.1084834813282,-14519614.714197718
-44.46758658605487,347.26967775701485,-511.0102056385029,-32329829.35953043
25.710358059523852,139.93729515377552,-443.2862727441517,-17182472.991900664
-109.50626957405056,193.28773865609423,-418.4938349780806,-22811985.42090143
43.68590336429638,232.0630749696882,-521.113577582589,-16063803.990657102
-29.79991976376637,297.3152530818316,-369.3163283763829,7268553.325843578
-18.737384835365123,549.3197812190224,-488.14995473166414,-8668231.032828711
-39.22661645424016,435.61885927752274,-393.2122925060568,38449.79429102503
91.69283122822746,593.004811300356,-505.08950193247705,100728067.52925871
28.47452417927963,685.0268776090601,-589.4007070805161,-746905.5051096473
33.648923527932986,528.880148481048,-437.8249552011709,-64091327.27523237
-30.72276142068961,524.2290418914569,-504.68697670242335,58524716.42876217
-7.8947600126524895,657.3679523345046,-479.5166613724605,-9580497.18097232
-35.527483372309824,345.3044454370847,-543.0062161597414,-17869294.036880895
333.94729246608193,-592.1439872597628,-523.2458160082492,156075879.37259054
296.6765166365889,-528.1388526997976,-581.1177022697206,98849656.38687488
303.9811256403324,-623.4526953405044,-519.0283481382794,160520717.47638854
262.1598214391776,-615.1564165657762,-531.3910804561784,94287302.92913958
226.88932675344884,-588.1728263493045,-424.693774485798,115787007.46318305
168.41845847031198,-514.2879124296462,-473.121129863976,48016821.442142285
274.2441926282724,-499.1944407698853,-599.1520426895618,102759998.86620012
354.65457128724853,-663.6128007007509,-469.6193468980278,252597959.4757136
215.06312367633143,-190.9008098127908,-583.2716250606317,50140746.12641143
358.27285592634905,-251.5902824996132,-374.0370617831072,87471325.04906026
250.0321573332193,-359.4912143814378,-460.1760798835584,88555565.68701363
133.62786121752492,-268.2127622771019,-441.6599473049992,22678106.429585382
299.1645137657373,-201.7415785084613,-479.65804857286696,-6107893.121025898
175.28371107079658,-152.32757700736312,-637.3065095358169,-10027606.241853587
208.7857029340441,-275.09071572770773,-432.9447774760726,-9587484.704562292
388.02949968349,-285.61968825988305,-451.7198943555302,117888021.05714108
250.6786671297566,43.25247925678458,-587.185770158903,73811425.17995429
293.35956009342016,-22.92090041036022,-378.2955162195345,-13290751.788312066
250.6717284908918,-27.03927944340906,-567.4148545778941,-8195600.291259766
205.62104904832145,1.6400715015772709,-483.3465151980475,7106659.165226959
318.2025507070827,13.137171699497545,-622.1052076408577,21992821.8536876
187.1904717729996,-2.242178086665163,-577.6305998807779,15032143.71514137
162.20791793578994,15.66106158754839,-384.96803312653793,51652803.75512657
148.17888922570094,-20.75200716000927,-629.0063023408262,-13543895.720802132
178.5644225602744,229.01984515637875,-509.2196136941932,26957017.777006146
174.4883780296421,291.09169049123847,-489.18028830597353,-24067686.048038743
189.98362858449605,345.4217352040223,-573.2126264822522,29669145.121089797
132.94563948820155,216.6913095257328,-479.7873659321646,-8698192.784527289
161.22542811055862,277.9498335495498,-516.3164348225047,82446923.02394453
321.56497343988894,247.2731357446156,-628.5534477433598,129094435.22979996
223.7791099669577,300.3800698139648,-460.3871307719516,82314663.53634961
288.87229669342736,158.4741370773211,-395.75602626110793,85326155.84264773
278.9750154158951,622.5821151881911,-422.2590543586453,97516843.4131198
202.8812222685187,468.1514372760394,-522.5593742612268,99432885.49799807
144.6080786113302,501.9669903560634,-429.01623225321526,36491689.575940974
148.10856507856622,505.6932196775599,-469.4942431387521,6323978.878051661
249.86119270575088,493.9222484729769,-600.990121094981,141640156.46668297
311.0434329826886,487.9701437949792,-609.3916761104609,125403945.34725404
262.33437959031545,433.2636408385728,-523.2031630245764,125729146.55163708
227.95803309287896,543.1358200557223,-543.1759583796478,122639251.35865754
439.890902124336,-538.7513185798805,-388.7211772208954,239960671.25295496
435.453075493752,-551.7523713478699,-471.7611248602936,241356594.48766232
470.5387328893193,-472.5585344088149,-558.1839288639787,202453737.0877489
410.4583831247183,-715.2185913587278,-586.7657568065201,350045807.0559575
509.46016724843633,-424.0738067817061,-395.0234802505348,240097143.3853868
436.3773190510229,-435.92234514101193,-562.6193171560739,145413607.48446175
