x,y,output
-505.08086601421553,-363.47454001420425,397049.2154049744
-485.1413030026226,-450.89720008711737,398788.1203428639
-255.08723690614036,-563.3356021827228,354874.36156266584
-549.0584379062952,-602.373008238166,680979.2007789179
-525.9506413762896,-515.2278141774566,486878.679862134
-566.5537492017448,-560.7350254233405,580221.879415917
-494.8949898542974,-562.4590786354574,580584.8944073098
-511.114499172304,-442.3075009844043,493786.7842114299
-536.9947320192757,-517.7982436987653,625168.5974099066
-513.131995414891,-624.5853834430106,664367.8468863171
-512.8415183333069,-597.2777220342011,660865.0997834213
-411.2401100377528,-596.2834838961629,514944.38479039737
-462.4368188555993,-473.9618647309798,473036.2526217016
-571.2718206504113,-435.14783945463125,485162.5411434694
-401.2882629066713,-365.7906314607328,295567.8507395009
-486.5750301998937,-547.5510603645347,549382.5971943907
-510.6321312829276,-613.3479105052866,584773.1351187531
-578.745593777098,-523.5293529398472,696407.3291456565
-495.0844443571668,-520.5599111087638,493528.1191002562
-445.2856397743826,-506.3887852967708,383600.2828944144
-524.2651696530825,-502.4077868210712,560214.2158929721
-442.5760155071629,-507.0384443507899,452369.2870225664
-509.5707306667286,-621.7257070806311,596288.5309185729
-366.0183567786807,-521.022829702785,435080.4446739748
-597.1425449189454,-563.5272651831644,674751.5019359596
-513.3909441895752,-438.48103121709,459094.4706490303
-659.900831146355,-545.0702486731026,689190.0322392284
-500.9933932873137,-404.4252970670954,447313.6321737766
-530.5552701764398,-578.9425706144419,576332.6923171367
-531.159503618728,-398.6522943697944,522048.6356582379
-467.603357201908,-476.4599578822416,479539.262920147
-507.1178796067365,-516.9565498056471,508903.7391122076
-688.153957284019,-557.8070389133213,845259.791572619
-416.0856322706943,-449.9298504330085,324718.3540396986
-541.0635077233227,-575.6305314390323,618430.0856352114
-622.5107148819303,-537.0167022778887,628203.857210673
-564.1979199654703,-602.0242323894663,682848.7825712572
-460.2009569757034,-584.2205725200954,584052.3624881741
-419.8003265222837,-424.9724567523297,367668.4168321976
-448.9397730796712,-554.9393566653843,506322.78762287577
-714.8656860088646,-221.08346562822464,560443.1752449392
-352.7881215649371,-147.3360028741376,181050.49751369175
-425.420421394898,-285.75866813134934,269707.0458618451
-442.0084253279518,-110.26853355543165,208976.90716123077
-699.4913569792287,-191.68503019158345,574418.71134476
-448.6060398166581,-289.3276785136622,248078.4595945445
-426.928387296514,-323.45256596952936,301728.95149410394
-347.9766425926107,-234.88655462125905,236059.03682726817
-594.0600226037648,-250.95209469735516,424814.7256452565
-335.466514422594,-386.3796375855954,287591.7210796653
-463.5785105173568,-256.09128804496027,229903.3117250029
-374.7247248010392,-182.6933962319848,173859.76457562158
-553.7575440131923,-257.1963494707952,350639.4475746655
-689.8981038758416,-182.93233968037143,596145.8850680636
-432.6045876493416,-162.9633473040701,239547.5180755304
-561.4281450080484,-295.8078938425337,364734.9282581862
-434.8856150865699,-306.4689674710933,296288.39156561746
-694.5037197230979,-269.89088417639675,575194.2165642008
-591.0362937220705,-174.9722183473974,367462.9511890062
-472.886808838765,-142.8814192277467,227082.16195880625
-317.9988013290176,-169.35996017921593,164538.56803726158
-507.3477586500032,-422.6830432469854,461011.5397378495
-496.7034512339472,-307.2098609069359,352600.89018633595
-447.1410155053818,-235.2710113363176,269662.2030392276
-500.7077858938745,-303.6613297801723,294814.82602963794
-420.5764137660045,-292.1430048406172,290742.6174242676
-528.8040790668068,-342.06955835328523,506365.9761525981
-526.1981489844013,-233.5616549616264,263149.3295838438
-700.8197983298337,-320.7558495996016,603028.6678013015
-477.4483835033868,-227.61441721157487,327071.63265248825
-596.8495401032166,-94.13202630805594,356150.29793727834
-611.421878390492,-240.50467597528305,469096.6067598324
-471.5295993807272,-250.724195408676,345063.5833597789
-469.23429528843366,-141.61477367262967,189152.96775768616
-537.1897694746015,-288.1253465723151,329262.4824318932
-442.6111663623845,-259.1849064402539,124452.0497594688
-383.9838333105308,-182.44301917845024,225813.4511839543
-430.3472887138766,-275.6117694910987,255506.72499060945
-537.1782636571182,-277.8508704160689,419765.6128773863
-387.1277809117547,-257.22848476026167,164197.06327743077
-483.2937722250937,43.098371660440165,239553.72390190765
-503.5064433300852,10.669087775633114,202503.17807976308
-639.4815822778799,-19.704730311264157,346287.9204089637
-564.5834021734461,-80.89280460383779,314678.3101770291
-601.5802979023546,-97.94692180657285,391711.5099732298
-513.1781037195593,19.4686211583114,206139.00210142267
-451.7818509006714,-11.000251906614537,110568.59091923748
-613.4484880254039,91.0445453012636,373646.9349505401
-545.4469826769454,82.03020125166366,323571.27078240184
-470.6435461567285,80.78123183783234,244566.6749341412
-473.2330345204452,-55.72467092527686,252985.4632637064
-584.4186562400043,-70.51709758131666,277090.6219370561
-549.0342163869045,74.23762258463678,259997.26525587792
-400.3143165405327,-11.887630445701882,171754.14761254608
-420.2804011189084,-75.66129901577182,119519.00123412414
-512.7709050449638,13.57595132017501,232684.32053119823
-485.42668061019685,41.92457933870254,252736.54185739584
-527.8132916182279,67.72755613111894,328187.93027379847
-598.4116791720779,-61.69867792287986,341323.4641368044
-538.530920833829,-80.62052282191468,306502.1346879272
-511.8279676712153,-69.15707972459508,194119.2169632677
-369.8018192224166,-20.97604314465549,159408.91213221283
-579.8603440983094,-66.61344126214254,365745.821068783
-624.1219423118725,-45.33625976459019,384012.9118455008
-432.6393315210609,-23.615252202204207,169359.8420013441
-555.4567292992524,-28.97261872052025,367606.97300084657
-626.5966484026258,71.36066165514399,385645.649950226
-563.8029351579729,38.288580007684445,350282.67639355845
-586.4900557561474,-13.438556493708756,341480.1360563969
-498.6924615375742,7.887836982859721,258185.41818450723
-480.55082577267336,-39.4543868763088,198954.40543175137
-516.2637920647509,-15.42440352172699,256521.0358897732
-505.1667170462785,61.68551896033779,285511.20112627815
-626.8427563296898,0.5609078929512065,406597.0863378045
-501.7496708005991,-71.617936840429,255554.640763484
-529.4158862872852,39.98250528472388,312225.1613270906
-448.2495179022123,-45.87335627533069,192163.02648042093
-602.940632134212,-12.141562683664493,360614.8607270095
-564.3829279362103,-48.477820320996514,330002.93796651094
-409.66929358179385,81.66678628534812,183435.0077801948
-449.2765979602944,149.8879474433543,262112.11368310708
-640.1728408673796,285.88165390637505,495983.8436893442
-614.2928343281034,361.2236657630023,521003.2169585307
-505.36207659082834,303.03516703927363,366369.6462961661
-564.0342089412134,290.6658332389112,391948.2408507573
-456.3754864288948,332.644256409005,308373.9489671927
-541.3359253752631,342.59587044369164,312432.0420333739
-510.547233853116,203.52584901487828,267421.65252885025
-570.3801001355233,306.153737638356,459977.7729523283
-541.7087768066353,309.24352552978183,386793.981280884
-515.1059252675744,251.90166167410297,264043.84946951945
-504.4117936628239,214.0353805803773,275023.1506656537
-557.9934344764599,247.92745096317944,468539.34324873926
-509.6744676603817,400.40604998519774,452316.0555735985
-365.2175581350176,303.6952863191031,159689.2568206374
-325.94187946394345,130.4611243978466,86953.69992772088
-408.15407187923006,207.55607819998872,265469.8416091933
-482.3881345183071,274.1671434344007,290541.6155608188
-552.1765817685452,215.16369198847767,357638.6108320999
-475.56121102013446,187.86892870451825,181040.24797322397
-546.6673050159264,315.28461358401154,411898.5995855568
-374.1207216173438,340.4236487183209,230508.4740982548
-380.4482806719165,178.6207776528909,195546.2448982556
-393.3414961986447,166.3690476206752,126072.84309853174
-540.4733985857848,277.6706000262808,323087.6662726251
-609.4324539930833,386.87293358573817,485713.613673755
-398.9745915321753,114.38125046434536,227742.35019288684
-494.0989653487531,163.48417996828888,270788.89055404783
-597.4697108839026,299.02007650351794,463404.2593609088
-558.8867570603371,200.8805046817722,340332.08754176623
-578.0755093980868,292.6914357889585,441997.5358561025
-405.2590460434673,89.46817561446265,79338.58282752859
-457.598152575486,290.1782055829671,386449.15866043966
-455.2296518539285,429.56383922113145,364842.0195235317
-584.8652342140257,261.1668132880544,423375.21521169005
-505.2654681924598,318.1569291267219,374315.9192991123
-573.8860368540469,185.65993017632508,370245.8567242241
-592.5208176060787,251.53282735243695,434887.9747032264
-578.309580727299,255.65734150507691,446463.7920854046
-530.3741528033084,210.23372934449225,317053.92750724097
-436.2029007522744,539.8128473860131,549423.6762769783
-410.1669514131328,550.0278208747532,448257.090350501
-537.7702052012736,547.2529032267236,584321.4221389336
-551.2695491073985,398.65678364070834,467894.1123211606
-413.1666624909337,389.1526771992176,405723.8865662015
-407.9534988966423,434.9250832749221,351417.6492581945
-464.40983380022,784.0479915487837,852329.205563911
-517.6693497846134,429.9552784578897,408781.03723666567
-511.0494207970918,482.8164440282965,505698.0019299907
-482.7079381065784,476.2873597895538,446430.7294273036
-438.71004800664207,327.23080491079,345906.9929014483
-548.9635438204709,552.2168307551245,659921.1409762733
-515.3352701455412,515.5969824119406,506673.0341045575
-517.7992894857693,633.7372743426412,709914.0623637494
-438.3619572799364,543.6977089609127,446576.83015688334
-592.3109826774286,419.68050683513616,530415.7505260203
-481.1217385144837,502.3186857265159,467671.1893880977
-535.7311607947015,412.51484300483406,463559.5702465205
-517.3239910078411,655.7858422209497,619458.3035925966
-585.2640238628821,541.8055877708474,559828.5888204888
-497.99034712892353,498.82454884655255,550365.2487481888
-673.4944132858276,504.30889043389584,658227.0761334836
-491.8162217845796,537.2779500532159,497510.800539211
-432.6019491193748,438.82942248969215,420494.37587773625
-433.2101437751111,546.8639006049558,463113.76460431336
-409.2928057714208,446.3253262176842,312751.568896005
-580.9412474623324,540.8380439510366,610255.6116569234
-547.6160933682982,480.92718123299954,498765.93385823286
-604.303038682036,422.25580410168766,513450.5545009057
-416.7926824003396,534.3054946196512,421103.3775363365
-515.1444311736336,493.2458192949916,476185.2720588656
-632.5452433870109,533.8305510757938,703663.8406252667
-542.3217976071184,599.5555004279761,639601.1510570052
-555.9876399513312,466.8337439073072,567989.1331935691
-476.2602143534858,355.8752710712997,331932.594327276
-492.5556079483309,512.0237996758297,491081.0694278394
-630.4977736018377,497.5324894509271,594529.0643070646
-546.93738302257,604.2055295981874,625743.7038099519
-524.8772609751908,450.2008615189072,487559.0155275644
-480.3057189477225,514.9798034067321,494190.5652240879
-172.91491488754838,-370.8101199802521,124062.9839881866
-173.58606085147258,-499.9991552522019,279128.2031946015
-303.88303559226307,-582.46922615597,395673.7665999101
-213.10723736374996,-518.0138677376835,383586.24844544113
-230.36706649675992,-486.5578257382456,289356.801897734
-243.51977426547683,-561.0009615629594,420571.51357853226
-232.94946346376815,-525.1065269994216,311545.8707716557
-296.3287466518256,-560.8572219717925,403711.3042339069
-274.7263970674418,-403.5701706638234,194119.40808959908
-147.4206937735686,-632.4625412414977,437118.741146115
-276.61283021482603,-530.237200275099,368494.40204691153
-229.5112933833772,-384.6185967163845,186595.20823235356
-251.85894214279145,-556.9668604616286,314715.416356916
-214.7091121927583,-409.9300354046389,301056.4155982734
-188.25678009931423,-455.9254237956845,264581.75207970664
-134.79138033681596,-425.1956019179482,200043.73743374183
-119.85448209490195,-488.4947475494516,316068.2871098934
-293.4277513470849,-406.1335653686844,218984.4458989557
-208.48084140319477,-450.57608630610576,280080.4857473854
-230.7342762530033,-521.3483533568407,310689.0832321155
-64.66270858731356,-523.5092698938882,276152.2326898866
-226.5225552053856,-576.5087374483855,391752.80130784033
-235.5049020112786,-642.315890134934,445936.7852642893
-256.63396144795536,-567.5754290470514,370213.72035078006
-272.7023388211024,-483.9135327850885,307118.6212617389
-209.40940299602116,-566.9255382386264,349809.72258199466
-217.81290978628337,-590.2385532056439,330876.9217931593
-371.1116065787471,-564.1309288864456,426604.93267950974
